datetime,T,RH,WS,Rs,P,ETo_mm_hr
2001-01-01 00:00:00,10.73,81.24,2.53,0.0,99.29,0.02199920449509919
2001-01-01 01:00:00,10.04,90.05,2.11,0.0,99.24,0.013185976595211467
2001-01-01 02:00:00,9.49,96.22,1.87,0.0,99.23,0.008098351861280067
2001-01-01 03:00:00,9.01,100.0,1.72,0.0,99.22,0.0053974038764313635
2001-01-01 04:00:00,8.64,100.0,1.67,0.0,99.24,0.005407062750244451
2001-01-01 05:00:00,8.5,100.0,1.74,0.0,99.28,0.00528829983466525
2001-01-01 06:00:00,8.17,100.0,1.59,0.0,99.35,0.005439614901998767
2001-01-01 07:00:00,8.64,100.0,1.54,0.13,99.42,0.017381922898245413
2001-01-01 08:00:00,10.95,87.37,2.55,0.78,99.48,0.09679468244323078
2001-01-01 09:00:00,14.06,69.68,2.56,1.48,99.54,0.22049493789692182
2001-01-01 10:00:00,17.39,50.24,3.16,2.08,99.57,0.36327448304638793
2001-01-01 11:00:00,19.5,39.51,3.5,2.42,99.52,0.45922504662029856
2001-01-01 12:00:00,20.8,33.78,3.75,2.42,99.44,0.4927253310834086
2001-01-01 13:00:00,21.48,30.64,3.77,2.25,99.35,0.4818729544993834
2001-01-01 14:00:00,21.65,28.89,3.6,1.85,99.29,0.41971481276835926
2001-01-01 15:00:00,21.29,28.46,3.25,1.25,99.25,0.30931385315316295
2001-01-01 16:00:00,20.07,30.0,2.15,0.56,99.24,0.14071983733982688
2001-01-01 17:00:00,17.05,36.02,1.13,0.04,99.27,0.0
2001-01-01 18:00:00,16.67,36.75,1.0,0.0,99.34,0.05157522498961349
2001-01-01 19:00:00,16.63,36.71,0.69,0.0,99.42,0.04233062581257334
2001-01-01 20:00:00,16.37,37.25,0.39,0.0,99.46,0.03135709353330337
2001-01-01 21:00:00,15.88,38.26,0.34,0.0,99.46,0.028735260076492134
2001-01-01 22:00:00,15.39,39.39,0.42,0.0,99.46,0.03081067451126268
