datetime,T,RH,WS,Rs,P,ETo_mm_hr
2001-01-01 00:00:00,11.2,42.25,1.41,0.0,98.71,0.04628167394642668
2001-01-01 01:00:00,10.53,44.28,1.2,0.0,98.67,0.04055098729182255
2001-01-01 02:00:00,10.17,45.35,1.07,0.0,98.64,0.03730134799727257
2001-01-01 03:00:00,10.13,45.6,0.9,0.0,98.64,0.0342501961101291
2001-01-01 04:00:00,10.05,45.85,0.61,0.0,98.67,0.028455998311518026
2001-01-01 05:00:00,9.43,50.76,0.77,0.0,98.7,0.028737324059301902
2001-01-01 06:00:00,9.08,54.06,0.65,0.0,98.77,0.02505132257279411
2001-01-01 07:00:00,9.47,55.5,0.64,0.24,98.85,0.039975195639773066
2001-01-01 08:00:00,11.3,51.75,1.06,0.93,98.91,0.1337754417354769
2001-01-01 09:00:00,14.42,48.94,1.76,1.55,98.96,0.2496328771594
2001-01-01 10:00:00,18.49,41.18,3.06,2.05,98.97,0.38801734196708376
2001-01-01 11:00:00,20.73,35.43,3.62,2.36,98.91,0.4798304900365317
2001-01-01 12:00:00,21.9,32.34,4.05,2.39,98.83,0.5150234041185133
2001-01-01 13:00:00,22.44,30.81,4.35,2.2,98.74,0.5029454751342227
2001-01-01 14:00:00,22.37,30.86,4.46,1.76,98.69,0.4383693989679662
2001-01-01 15:00:00,21.64,32.51,4.43,1.13,98.68,0.3336885319494131
2001-01-01 16:00:00,20.11,36.39,3.7,0.43,98.69,0.1910925023414715
2001-01-01 17:00:00,16.44,47.02,1.95,0.02,98.73,0.017541532717930696
2001-01-01 18:00:00,15.13,52.37,1.97,0.0,98.81,0.05297766010845501
2001-01-01 19:00:00,14.29,56.3,1.93,0.0,98.89,0.047083954351279954
2001-01-01 20:00:00,13.45,59.69,1.79,0.0,98.94,0.04113839949795758
2001-01-01 21:00:00,12.66,62.45,1.63,0.0,98.98,0.03613196105583792
2001-01-01 22:00:00,11.92,65.11,1.48,0.0,98.98,0.031782941769642414
2001-01-01 23:00:00,11.24,67.74,1.35,0.0,98.97,0.02806339035663963
2001-01-02 00:00:00,10.64,70.38,1.23,0.0,98.97,0.024818488242517197
