datetime,T,RH,WS,Rs,P,ETo_hourly_mm
2001-01-01 00:00:00,12.02,43.44,2.48,0.0,98.82,0.09791674750309384
2001-01-01 01:00:00,11.26,51.22,2.49,0.0,98.79,0.0841521401220418
2001-01-01 02:00:00,10.55,61.74,2.43,0.0,98.75,0.06645083970923771
2001-01-01 03:00:00,9.95,72.77,2.33,0.0,98.75,0.04938716706465834
2001-01-01 04:00:00,9.46,82.93,2.23,0.0,98.76,0.03516755521343318
2001-01-01 05:00:00,9.32,95.03,2.36,0.0,98.8,0.02029006491034289
2001-01-01 06:00:00,9.02,99.25,2.34,0.0,98.88,0.014865594834061923
2001-01-01 07:00:00,9.66,95.93,2.92,0.21,98.97,0.04572722855049788
2001-01-01 08:00:00,11.73,83.73,3.5,0.94,99.03,0.1638683759297119
2001-01-01 09:00:00,14.99,64.95,3.22,1.63,99.08,0.32839009252776735
2001-01-01 10:00:00,18.77,40.82,3.69,2.17,99.11,0.5332167277627674
2001-01-01 11:00:00,20.99,30.46,4.11,2.5,99.06,0.7783165812407687
2001-01-01 12:00:00,22.15,26.27,4.43,2.48,98.97,0.44457608013170175
2001-01-01 13:00:00,22.69,24.26,4.56,2.3,98.89,0.5590675170050478
2001-01-01 14:00:00,22.69,23.78,4.5,1.88,98.83,0.5228089927106038
2001-01-01 15:00:00,22.11,24.63,4.27,1.26,98.81,0.42544261486201274
2001-01-01 16:00:00,20.83,27.02,3.41,0.55,98.8,0.28090119757380033
2001-01-01 17:00:00,17.02,35.28,1.57,0.04,98.84,0.10580262626372257
2001-01-01 18:00:00,15.49,39.82,1.58,0.0,98.92,0.0897776903497529
2001-01-01 19:00:00,14.63,42.79,1.6,0.0,99.0,0.08453258253389519
2001-01-01 20:00:00,13.88,45.44,1.58,0.0,99.05,0.07895260677584083
2001-01-01 21:00:00,13.24,47.38,1.53,0.0,99.06,0.0739030876407878
2001-01-01 22:00:00,12.71,48.83,1.45,0.0,99.05,0.06912157858323373
2001-01-01 23:00:00,12.33,49.72,1.35,0.0,99.03,0.0649390677662345
2001-01-02 00:00:00,12.16,49.83,1.26,0.0,99.02,0.062263163072961876
2001-01-02 01:00:00,12.08,49.65,1.17,0.0,99.03,0.06000304335297873
2001-01-02 02:00:00,11.9,50.02,1.1,0.0,99.03,0.057575681352029805
2001-01-02 03:00:00,11.55,51.08,1.08,0.0,99.04,0.05560023158959276
2001-01-02 04:00:00,11.09,52.43,1.1,0.0,99.06,0.05421508411126608
2001-01-02 05:00:00,10.59,54.11,1.13,0.0,99.11,0.05270669937689704
2001-01-02 06:00:00,10.09,55.98,1.14,0.0,99.18,0.050604262771489716
2001-01-02 07:00:00,10.38,54.95,1.03,0.16,99.26,0.07547027300927672
2001-01-02 08:00:00,13.08,46.11,1.66,0.8,99.33,0.20990343334203232
2001-01-02 09:00:00,15.75,38.73,1.51,1.46,99.4,0.35803966308043805
2001-01-02 10:00:00,19.7,27.01,1.11,2.01,99.41,0.5451965594621172
2001-01-02 11:00:00,21.43,21.9,1.29,2.35,99.35,0.807110526677046
2001-01-02 12:00:00,22.47,19.36,1.32,2.47,99.26,0.3629635520721737
2001-01-02 13:00:00,23.09,18.24,1.34,2.3,99.16,0.509520099557599
2001-01-02 14:00:00,23.28,17.85,1.43,1.89,99.11,0.47182618693425726
2001-01-02 15:00:00,22.95,18.21,1.66,1.28,99.09,0.3760410785774292
2001-01-02 16:00:00,21.72,19.63,1.36,0.58,99.1,0.22958647124595233
2001-01-02 17:00:00,18.57,24.23,1.11,0.04,99.13,0.10404186020148513
2001-01-02 18:00:00,17.0,27.01,1.29,0.0,99.2,0.09838567288282903
2001-01-02 19:00:00,15.73,29.93,1.39,0.0,99.25,0.09568420017470458
2001-01-02 20:00:00,14.66,33.03,1.44,0.0,99.29,0.09101777064384199
2001-01-02 21:00:00,13.71,36.55,1.47,0.0,99.31,0.08547491755896992
2001-01-02 22:00:00,12.86,40.56,1.5,0.0,99.31,0.07973989887391991
2001-01-02 23:00:00,12.13,45.01,1.55,0.0,99.28,0.07444050851440566
2001-01-03 00:00:00,11.53,49.5,1.62,0.0,99.25,0.06982143969974679
2001-01-03 01:00:00,11.05,53.5,1.71,0.0,99.23,0.06623399387559221
2001-01-03 02:00:00,10.65,56.91,1.8,0.0,99.2,0.0632122735623313
2001-01-03 03:00:00,10.27,59.63,1.83,0.0,99.19,0.05984837428389807
2001-01-03 04:00:00,9.89,61.84,1.8,0.0,99.22,0.05618823182300533
2001-01-03 05:00:00,9.51,63.61,1.76,0.0,99.28,0.053003535882627656
2001-01-03 06:00:00,9.15,64.82,1.73,0.0,99.37,0.05069092074956228
2001-01-03 07:00:00,10.09,60.64,1.86,0.18,99.45,0.08484442531980307
2001-01-03 08:00:00,13.48,48.41,3.35,0.88,99.53,0.23530281136094947
2001-01-03 09:00:00,16.35,40.26,2.83,1.57,99.58,0.3861249556929957
2001-01-03 10:00:00,20.62,28.64,3.02,2.12,99.57,0.5873688475343394
2001-01-03 11:00:00,22.65,23.48,3.05,2.46,99.5,0.842699744804933
2001-01-03 12:00:00,23.76,21.29,2.83,2.58,99.38,0.43775418981663655
2001-01-03 13:00:00,24.41,20.04,2.55,2.41,99.29,0.5716793939235718
2001-01-03 14:00:00,24.58,19.41,2.43,1.99,99.22,0.5304854215953788
2001-01-03 15:00:00,24.16,19.42,2.51,1.37,99.17,0.4309236591568939
2001-01-03 16:00:00,22.71,20.73,1.89,0.63,99.16,0.2664453877091828
2001-01-03 17:00:00,18.57,26.84,1.31,0.05,99.18,0.11224843956637821
2001-01-03 18:00:00,16.82,29.82,1.48,0.0,99.23,0.10253406991111122
2001-01-03 19:00:00,15.69,31.88,1.62,0.0,99.28,0.10197715248247234
2001-01-03 20:00:00,14.73,33.83,1.77,0.0,99.31,0.10169040088195293
2001-01-03 21:00:00,13.88,35.86,1.9,0.0,99.33,0.10035755585174651
2001-01-03 22:00:00,13.09,38.07,1.98,0.0,99.33,0.09710709249065179
2001-01-03 23:00:00,12.36,40.37,2.04,0.0,99.31,0.09324095099557105
2001-01-04 00:00:00,11.67,42.81,2.05,0.0,99.29,0.08808446974811805
2001-01-04 01:00:00,11.05,45.21,2.03,0.0,99.28,0.08268253669971654
2001-01-04 02:00:00,10.5,47.51,2.03,0.0,99.25,0.07822799152358956
2001-01-04 03:00:00,9.99,50.19,2.04,0.0,99.25,0.07375304871954312
2001-01-04 04:00:00,9.52,52.88,2.02,0.0,99.27,0.068969146001581
2001-01-04 05:00:00,9.05,56.12,1.97,0.0,99.31,0.06328065441571726
2001-01-04 06:00:00,8.57,59.72,1.89,0.0,99.38,0.05706769788694808
2001-01-04 07:00:00,9.46,57.89,2.15,0.17,99.45,0.08821727054284059
2001-01-04 08:00:00,12.67,47.99,3.65,0.86,99.51,0.22851021625455817
2001-01-04 09:00:00,15.72,39.93,3.19,1.55,99.54,0.3771630983839378
2001-01-04 10:00:00,20.18,26.45,3.5,2.1,99.52,0.5853128430087453
2001-01-04 11:00:00,22.41,19.95,3.64,2.43,99.46,0.8448032447758221
2001-01-04 12:00:00,23.69,16.98,3.62,2.6,99.38,0.4630820918870035
2001-01-04 13:00:00,24.43,15.35,3.39,2.42,99.31,0.6018974501683847
2001-01-04 14:00:00,24.56,14.54,3.68,2.01,99.21,0.5783635558011805
2001-01-04 15:00:00,24.03,14.48,3.79,1.39,99.19,0.48657286065227195
2001-01-04 16:00:00,22.41,15.74,2.78,0.65,99.22,0.3155992398673743
2001-01-04 17:00:00,17.69,21.08,1.66,0.06,99.24,0.13482395714600431
2001-01-04 18:00:00,15.97,23.53,1.85,0.0,99.3,0.12340326480728177
2001-01-04 19:00:00,14.98,25.09,1.99,0.0,99.36,0.12263187746619224
2001-01-04 20:00:00,14.09,26.68,2.11,0.0,99.39,0.12091341337821934
2001-01-04 21:00:00,13.27,28.46,2.19,0.0,99.4,0.11752320469308858
2001-01-04 22:00:00,12.52,30.22,2.31,0.0,99.39,0.1154087651069596
2001-01-04 23:00:00,11.85,32.26,2.44,0.0,99.36,0.11312656340822981
2001-01-05 00:00:00,11.2,34.5,2.51,0.0,99.33,0.10885355899107747
2001-01-05 01:00:00,10.55,37.03,2.49,0.0,99.32,0.10211383973997315
2001-01-05 02:00:00,9.95,39.7,2.48,0.0,99.3,0.09585602711040489
2001-01-05 03:00:00,9.38,42.33,2.5,0.0,99.29,0.0905735281597267
2001-01-05 04:00:00,8.88,44.75,2.6,0.0,99.28,0.08733892953254793
2001-01-05 05:00:00,8.4,47.1,2.69,0.0,99.28,0.08397142539226396
2001-01-05 06:00:00,7.87,49.6,2.67,0.0,99.33,0.07855876652646383
2001-01-05 07:00:00,8.71,47.59,3.23,0.19,99.4,0.11502634597912013
2001-01-05 08:00:00,11.51,40.06,4.27,0.91,99.46,0.244381494627725
2001-01-05 09:00:00,14.96,32.27,3.86,1.62,99.49,0.39747465101167617
2001-01-05 10:00:00,19.64,22.33,4.46,2.2,99.47,0.6109205538445741
2001-01-05 11:00:00,21.99,17.44,3.95,2.53,99.39,0.8715209350106916
2001-01-05 12:00:00,23.31,14.91,3.54,2.57,99.26,0.4546180740555631
