datetime,T,RH,WS,Rs,P,ETo_hourly_mm
2001-01-01 00:00:00,10.1,47.49,1.27,0.0,98.41,0.060458587962698256
2001-01-01 01:00:00,9.13,56.37,1.3,0.0,98.36,0.05171760061958808
2001-01-01 02:00:00,8.29,69.43,1.37,0.0,98.35,0.040589304571772504
2001-01-01 03:00:00,7.69,83.54,1.49,0.0,98.35,0.029012952134787447
2001-01-01 04:00:00,7.31,95.58,1.59,0.0,98.37,0.01855871022629078
2001-01-01 05:00:00,7.73,100.0,1.47,0.0,98.4,0.015074479405299756
2001-01-01 06:00:00,7.99,100.0,1.61,0.0,98.49,0.014888362057798957
2001-01-01 07:00:00,8.87,98.0,2.41,0.14,98.57,0.03452434358931089
2001-01-01 08:00:00,10.81,87.92,3.38,0.53,98.63,0.10088018262028278
2001-01-01 09:00:00,13.54,76.13,3.59,0.77,98.69,0.16806791939809623
2001-01-01 10:00:00,16.1,63.87,3.81,0.94,98.71,0.24231365994172824
2001-01-01 11:00:00,18.17,52.61,3.89,1.04,98.67,0.3456001332076443
2001-01-01 12:00:00,19.21,46.01,3.89,1.18,98.6,0.25399317250199444
2001-01-01 13:00:00,19.59,43.53,4.05,0.92,98.54,0.2826407332874277
2001-01-01 14:00:00,19.48,43.4,4.21,0.77,98.51,0.27177035587950027
2001-01-01 15:00:00,18.93,44.69,4.22,0.53,98.51,0.23397523423107464
2001-01-01 16:00:00,17.89,47.79,3.6,0.23,98.52,0.16836585717264907
2001-01-01 17:00:00,15.87,54.95,1.93,0.0,98.55,0.07983846318855117
2001-01-01 18:00:00,15.32,57.69,1.96,0.0,98.62,0.07536057568066996
2001-01-01 19:00:00,14.56,61.38,1.83,0.0,98.68,0.0662533751376915
2001-01-01 20:00:00,13.7,65.93,1.65,0.0,98.73,0.055997953760946455
2001-01-01 21:00:00,12.43,72.86,1.43,0.0,98.74,0.04356166567803143
2001-01-01 22:00:00,11.62,78.01,1.28,0.0,98.75,0.036154817082113926
2001-01-01 23:00:00,10.93,82.75,1.17,0.0,98.75,0.03059644162349737
2001-01-02 00:00:00,10.34,86.94,1.1,0.0,98.75,0.026477918675432827
2001-01-02 01:00:00,9.82,90.82,1.05,0.0,98.77,0.023132077572019537
2001-01-02 02:00:00,9.34,94.23,1.03,0.0,98.8,0.020463278810533034
2001-01-02 03:00:00,8.94,96.69,1.04,0.0,98.82,0.018601782541219844
2001-01-02 04:00:00,8.66,97.87,1.03,0.0,98.85,0.017699153799925465
2001-01-02 05:00:00,8.46,97.97,1.04,0.0,98.9,0.017538747624521622
2001-01-02 06:00:00,8.26,97.78,1.06,0.0,98.95,0.017559527099172745
2001-01-02 07:00:00,9.07,91.09,0.97,0.13,99.0,0.04264698979594294
2001-01-02 08:00:00,11.88,74.41,2.06,0.57,99.05,0.13398903283675645
2001-01-02 09:00:00,15.04,58.29,1.88,0.93,99.11,0.2330690514254067
2001-01-02 10:00:00,18.45,42.4,1.91,1.22,99.13,0.34805631770958484
2001-01-02 11:00:00,19.93,36.68,1.42,1.76,99.11,0.5809156551707161
2001-01-02 12:00:00,20.91,32.84,1.01,2.2,99.03,0.316497275151104
2001-01-02 13:00:00,21.45,30.32,0.65,1.99,98.96,0.41611119325215373
2001-01-02 14:00:00,21.53,29.06,0.5,1.57,98.92,0.35998747786668395
2001-01-02 15:00:00,21.15,29.04,0.9,0.98,98.9,0.26716729562067365
2001-01-02 16:00:00,19.74,31.41,0.83,0.37,98.91,0.1454294715517542
2001-01-02 17:00:00,17.23,36.94,1.06,0.0,98.94,0.07816527475112454
2001-01-02 18:00:00,15.8,40.48,1.23,0.0,99.0,0.0779952897530187
2001-01-02 19:00:00,14.67,43.65,1.31,0.0,99.06,0.07488203404011652
2001-01-02 20:00:00,13.81,46.26,1.33,0.0,99.08,0.07093558136069497
2001-01-02 21:00:00,13.18,48.42,1.33,0.0,99.09,0.06744249779348034
2001-01-02 22:00:00,12.69,50.1,1.32,0.0,99.09,0.06454218744612997
2001-01-02 23:00:00,12.24,51.59,1.28,0.0,99.07,0.061266095408091394
2001-01-03 00:00:00,11.88,53.05,1.25,0.0,99.04,0.058546438212345814
2001-01-03 01:00:00,11.56,54.53,1.2,0.0,99.03,0.05553663230282473
2001-01-03 02:00:00,11.05,56.75,1.2,0.0,99.01,0.052770118610016965
2001-01-03 03:00:00,10.39,59.8,1.23,0.0,99.01,0.04970527478945566
2001-01-03 04:00:00,9.85,62.79,1.24,0.0,99.02,0.046551449796858144
2001-01-03 05:00:00,9.46,65.57,1.24,0.0,99.08,0.04370629587905376
2001-01-03 06:00:00,9.14,68.14,1.23,0.0,99.16,0.04106267055896387
2001-01-03 07:00:00,9.69,66.77,1.07,0.15,99.24,0.06426147021543208
2001-01-03 08:00:00,12.62,55.88,1.93,0.68,99.31,0.17829304028548734
2001-01-03 09:00:00,15.23,47.46,1.64,1.16,99.37,0.2888095972020652
2001-01-03 10:00:00,19.1,35.21,1.23,1.53,99.36,0.4233099969374417
2001-01-03 11:00:00,20.63,30.76,1.15,2.06,99.28,0.6914835848735693
2001-01-03 12:00:00,21.6,27.78,1.16,2.28,99.18,0.33049832488570113
2001-01-03 13:00:00,22.2,25.63,1.37,2.04,99.07,0.45044216331776094
2001-01-03 14:00:00,22.3,24.4,1.72,1.58,99.02,0.4076602209312144
2001-01-03 15:00:00,21.8,24.18,2.04,0.96,99.0,0.3147172958867615
2001-01-03 16:00:00,19.66,26.83,1.18,0.35,98.99,0.16169442124686337
2001-01-03 17:00:00,16.33,32.57,1.27,0.0,99.01,0.08934371366562098
2001-01-03 18:00:00,14.92,35.21,1.37,0.0,99.07,0.08665983805510588
2001-01-03 19:00:00,13.83,37.8,1.45,0.0,99.12,0.08370486533243385
2001-01-03 20:00:00,12.89,40.74,1.48,0.0,99.15,0.07900765550502291
2001-01-03 21:00:00,12.1,43.81,1.46,0.0,99.15,0.07325643147079162
2001-01-03 22:00:00,11.51,46.59,1.4,0.0,99.14,0.06753802888600693
2001-01-03 23:00:00,11.18,48.56,1.34,0.0,99.1,0.06346249587382068
2001-01-04 00:00:00,11.02,49.67,1.28,0.0,99.07,0.06068269593224383
2001-01-04 01:00:00,10.92,50.35,1.21,0.0,99.04,0.058230819501647296
2001-01-04 02:00:00,10.7,51.46,1.14,0.0,99.04,0.055257694108475135
2001-01-04 03:00:00,10.34,53.09,1.1,0.0,99.04,0.05242591044190362
2001-01-04 04:00:00,9.88,55.14,1.11,0.0,99.05,0.05029142308512782
2001-01-04 05:00:00,9.26,57.93,1.18,0.0,99.1,0.04849160108800725
2001-01-04 06:00:00,8.65,60.97,1.23,0.0,99.17,0.04600597419147356
2001-01-04 07:00:00,8.89,60.6,1.12,0.15,99.25,0.06779581924115066
2001-01-04 08:00:00,12.04,49.7,1.98,0.75,99.32,0.19427995344265148
2001-01-04 09:00:00,14.68,42.14,1.76,1.37,99.36,0.32920819500067156
2001-01-04 10:00:00,18.64,30.25,1.76,1.89,99.35,0.5072144390436546
2001-01-04 11:00:00,20.53,24.64,2.32,2.21,99.29,0.7448854515262898
2001-01-04 12:00:00,21.64,22.01,2.59,2.31,99.2,0.3757766443383137
2001-01-04 13:00:00,22.28,20.39,2.8,2.11,99.11,0.501925927443682
2001-01-04 14:00:00,22.32,19.8,2.78,1.67,99.05,0.4593910750653956
