datetime,T,RH,WS,Rs,P,ETo_hourly_mm
2001-01-01 00:00:00,10.73,81.24,2.53,0.0,99.29,0.04058595395055027
2001-01-01 01:00:00,10.04,90.05,2.11,0.0,99.24,0.026610636503199295
2001-01-01 02:00:00,9.49,96.22,1.87,0.0,99.23,0.018934948083435234
2001-01-01 03:00:00,9.01,100.0,1.72,0.0,99.22,0.01496430788331441
2001-01-01 04:00:00,8.64,100.0,1.67,0.0,99.24,0.014933601960693682
2001-01-01 05:00:00,8.5,100.0,1.74,0.0,99.28,0.014753309250037445
2001-01-01 06:00:00,8.17,100.0,1.59,0.0,99.35,0.014914481925499538
2001-01-01 07:00:00,8.64,100.0,1.54,0.13,99.42,0.03365905282902494
2001-01-01 08:00:00,10.95,87.37,2.55,0.78,99.48,0.13975300330313234
2001-01-01 09:00:00,14.06,69.68,2.56,1.48,99.54,0.2940643761621354
2001-01-01 10:00:00,17.39,50.24,3.16,2.08,99.57,0.4765254511297624
2001-01-01 11:00:00,19.5,39.51,3.5,2.42,99.52,0.7031870549856375
2001-01-01 12:00:00,20.8,33.78,3.75,2.42,99.44,0.3967548121144704
2001-01-01 13:00:00,21.48,30.64,3.77,2.25,99.35,0.5067312733115499
2001-01-01 14:00:00,21.65,28.89,3.6,1.85,99.29,0.47477215787358645
2001-01-01 15:00:00,21.29,28.46,3.25,1.25,99.25,0.3816477562131786
2001-01-01 16:00:00,20.07,30.0,2.15,0.56,99.24,0.2316243571345276
2001-01-01 17:00:00,17.05,36.02,1.13,0.04,99.27,0.0883581934784753
2001-01-01 18:00:00,16.67,36.75,1.0,0.0,99.34,0.07491900336464913
2001-01-01 19:00:00,16.63,36.71,0.69,0.0,99.42,0.06194546375293887
2001-01-01 20:00:00,16.37,37.25,0.39,0.0,99.46,0.04798294305741042
2001-01-01 21:00:00,15.88,38.26,0.34,0.0,99.46,0.044742459570760285
2001-01-01 22:00:00,15.39,39.39,0.42,0.0,99.46,0.04715998813317463
2001-01-01 23:00:00,14.83,40.73,0.52,0.0,99.44,0.04988470096856663
2001-01-02 00:00:00,14.31,42.02,0.63,0.0,99.42,0.0526568375937346
2001-01-02 01:00:00,13.77,43.52,0.77,0.0,99.43,0.05586240255475116
2001-01-02 02:00:00,13.18,45.23,0.84,0.0,99.43,0.056039419321414985
2001-01-02 03:00:00,12.68,46.84,0.85,0.0,99.44,0.05441113623949037
2001-01-02 04:00:00,12.27,48.36,0.84,0.0,99.46,0.05241945687050526
2001-01-02 05:00:00,11.87,49.79,0.82,0.0,99.52,0.05028781427572593
2001-01-02 06:00:00,11.34,51.6,0.88,0.0,99.58,0.049871198032939844
2001-01-02 07:00:00,11.06,52.72,0.98,0.12,99.65,0.07110310962465868
2001-01-02 08:00:00,13.39,45.37,1.63,0.73,99.73,0.20082050490502107
2001-01-02 09:00:00,16.0,38.27,2.12,1.4,99.79,0.35448586123472803
2001-01-02 10:00:00,19.95,27.66,1.53,1.95,99.81,0.5380061096062726
2001-01-02 11:00:00,21.68,22.51,1.04,2.29,99.75,0.797008379212389
2001-01-02 12:00:00,22.81,19.45,0.67,2.48,99.66,0.3331139630995693
2001-01-02 13:00:00,23.51,17.8,0.42,2.32,99.58,0.4851533816770561
2001-01-02 14:00:00,23.69,17.17,0.25,1.9,99.53,0.4326290893023688
2001-01-02 15:00:00,23.33,17.37,0.36,1.31,99.52,0.3276550260622002
2001-01-02 16:00:00,22.06,18.71,0.44,0.57,99.53,0.18136540758441894
2001-01-02 17:00:00,19.62,21.82,0.69,0.06,99.57,0.08996877577611789
2001-01-02 18:00:00,18.18,23.96,0.94,0.0,99.64,0.08787789653860581
2001-01-02 19:00:00,16.89,26.26,1.15,0.0,99.69,0.09272609931895413
2001-01-02 20:00:00,15.47,29.3,1.33,0.0,99.72,0.09340485895066127
2001-01-02 21:00:00,14.1,32.91,1.47,0.0,99.73,0.09076739480233369
2001-01-02 22:00:00,12.95,36.75,1.53,0.0,99.73,0.08518632877182127
2001-01-02 23:00:00,12.1,40.44,1.57,0.0,99.71,0.07995758568052128
2001-01-03 00:00:00,11.45,44.2,1.62,0.0,99.68,0.07545553898131017
2001-01-03 01:00:00,10.92,48.1,1.68,0.0,99.66,0.07127852445882682
2001-01-03 02:00:00,10.47,51.94,1.7,0.0,99.64,0.06645651264857486
2001-01-03 03:00:00,10.07,55.8,1.69,0.0,99.63,0.06126341792037037
2001-01-03 04:00:00,9.71,59.29,1.65,0.0,99.66,0.05623347929035621
2001-01-03 05:00:00,9.38,62.42,1.62,0.0,99.72,0.05201143523864849
2001-01-03 06:00:00,9.09,64.95,1.59,0.0,99.8,0.0486156262547673
2001-01-03 07:00:00,9.71,63.27,1.52,0.13,99.88,0.06960458199586546
2001-01-03 08:00:00,13.78,48.69,2.7,0.77,99.96,0.21625942710041848
2001-01-03 09:00:00,16.51,40.87,2.49,1.46,100.02,0.36716548495489953
2001-01-03 10:00:00,20.71,26.9,1.54,2.04,100.01,0.5682673500970082
2001-01-03 11:00:00,22.66,20.55,1.02,2.39,99.94,0.8499395693191865
2001-01-03 12:00:00,23.6,18.08,0.71,2.49,99.83,0.33796915369281133
2001-01-03 13:00:00,24.22,16.4,0.7,2.32,99.74,0.5006725468324053
2001-01-03 14:00:00,24.38,15.55,1.02,1.97,99.67,0.48256409227336033
2001-01-03 15:00:00,23.96,15.51,1.35,1.37,99.62,0.3907096873371195
2001-01-03 16:00:00,22.4,16.81,1.01,0.64,99.61,0.22964242113755093
2001-01-03 17:00:00,19.35,20.35,1.14,0.06,99.62,0.11589793222068054
2001-01-03 18:00:00,17.73,22.69,1.31,0.0,99.67,0.10676489709723902
2001-01-03 19:00:00,16.47,24.85,1.41,0.0,99.72,0.10496232789671817
2001-01-03 20:00:00,15.37,27.04,1.46,0.0,99.76,0.10105609996605178
2001-01-03 21:00:00,14.36,29.25,1.51,0.0,99.78,0.09727626385457354
2001-01-03 22:00:00,13.42,31.61,1.53,0.0,99.77,0.0923950257677644
2001-01-03 23:00:00,12.58,34.04,1.54,0.0,99.75,0.08749579526814692
2001-01-04 00:00:00,11.9,36.39,1.54,0.0,99.72,0.08296795290009161
2001-01-04 01:00:00,11.3,38.58,1.52,0.0,99.71,0.07841061993454955
2001-01-04 02:00:00,10.68,41.07,1.52,0.0,99.69,0.07420898541233852
2001-01-04 03:00:00,9.96,43.87,1.55,0.0,99.68,0.07030755123555169
2001-01-04 04:00:00,9.39,46.53,1.6,0.0,99.69,0.06738918320355386
2001-01-04 05:00:00,8.97,48.59,1.62,0.0,99.73,0.0647631949332635
2001-01-04 06:00:00,8.62,50.5,1.64,0.0,99.8,0.06246894688116243
2001-01-04 07:00:00,9.29,48.84,1.67,0.12,99.87,0.08363577611026918
2001-01-04 08:00:00,13.5,37.29,3.13,0.77,99.94,0.239530170434747
2001-01-04 09:00:00,16.39,31.13,2.85,1.46,99.98,0.3881131644717383
2001-01-04 10:00:00,20.33,22.57,1.75,2.03,99.98,0.5725813091638099
2001-01-04 11:00:00,22.7,17.31,1.73,2.38,99.92,0.8593546301163365
2001-01-04 12:00:00,23.91,15.11,1.89,2.55,99.83,0.3929849415789199
2001-01-04 13:00:00,24.6,13.97,1.78,2.39,99.74,0.5543166954112524
2001-01-04 14:00:00,24.72,13.5,2.16,1.98,99.66,0.5313802371767841
2001-01-04 15:00:00,24.2,13.6,2.34,1.38,99.64,0.43851494124214907
2001-01-04 16:00:00,22.4,15.05,1.59,0.66,99.66,0.2654910091506485
2001-01-04 17:00:00,18.08,19.74,1.42,0.06,99.69,0.12700198813423497
2001-01-04 18:00:00,16.19,22.44,1.61,0.0,99.75,0.11592758773435544
2001-01-04 19:00:00,15.02,24.39,1.72,0.0,99.81,0.1136943711977016
