datetime,T,RH,WS,Rs,P,ETo_hourly_mm
2001-01-01 00:00:00,11.2,42.25,1.41,0.0,98.71,0.07128217519112393
2001-01-01 01:00:00,10.53,44.28,1.2,0.0,98.67,0.06234619242769617
2001-01-01 02:00:00,10.17,45.35,1.07,0.0,98.64,0.05734313781211807
2001-01-01 03:00:00,10.13,45.6,0.9,0.0,98.64,0.052535145425506725
2001-01-01 04:00:00,10.05,45.85,0.61,0.0,98.67,0.0440625642959341
2001-01-01 05:00:00,9.43,50.76,0.77,0.0,98.7,0.044837114918049537
2001-01-01 06:00:00,9.08,54.06,0.65,0.0,98.77,0.03970974124638676
2001-01-01 07:00:00,9.47,55.5,0.64,0.24,98.85,0.0792326591134435
2001-01-01 08:00:00,11.3,51.75,1.06,0.93,98.91,0.21014417897524348
2001-01-01 09:00:00,14.42,48.94,1.76,1.55,98.96,0.3478585618763438
2001-01-01 10:00:00,18.49,41.18,3.06,2.05,98.97,0.5101745323125959
2001-01-01 11:00:00,20.73,35.43,3.62,2.36,98.91,0.7264842606249442
2001-01-01 12:00:00,21.9,32.34,4.05,2.39,98.83,0.41699746342439403
2001-01-01 13:00:00,22.44,30.81,4.35,2.2,98.74,0.5212782123271493
2001-01-01 14:00:00,22.37,30.86,4.46,1.76,98.69,0.479393209106451
2001-01-01 15:00:00,21.64,32.51,4.43,1.13,98.68,0.38073247132713595
2001-01-01 16:00:00,20.11,36.39,3.7,0.43,98.69,0.24114565609956698
2001-01-01 17:00:00,16.44,47.02,1.95,0.02,98.73,0.09646091344639031
2001-01-01 18:00:00,15.13,52.37,1.97,0.0,98.81,0.08275348221255728
2001-01-01 19:00:00,14.29,56.3,1.93,0.0,98.89,0.07445604856725455
2001-01-01 20:00:00,13.45,59.69,1.79,0.0,98.94,0.0655561051218372
2001-01-01 21:00:00,12.66,62.45,1.63,0.0,98.98,0.0579649245474411
2001-01-01 22:00:00,11.92,65.11,1.48,0.0,98.98,0.05142545067592264
2001-01-01 23:00:00,11.24,67.74,1.35,0.0,98.97,0.045912012532388385
2001-01-02 00:00:00,10.64,70.38,1.23,0.0,98.97,0.04114881099002569
2001-01-02 01:00:00,10.13,73.2,1.15,0.0,98.96,0.03727796279906262
2001-01-02 02:00:00,9.67,76.55,1.11,0.0,98.97,0.0338075286553904
2001-01-02 03:00:00,9.2,80.51,1.11,0.0,98.98,0.03043974401767382
2001-01-02 04:00:00,8.75,84.99,1.11,0.0,99.02,0.02682483951511047
2001-01-02 05:00:00,8.35,89.52,1.1,0.0,99.07,0.02329736587227452
2001-01-02 06:00:00,7.99,93.42,1.09,0.0,99.13,0.02037101484178882
2001-01-02 07:00:00,9.43,85.74,1.25,0.21,99.2,0.059381789326798766
2001-01-02 08:00:00,12.37,70.67,1.92,0.85,99.27,0.18389393244679486
2001-01-02 09:00:00,16.55,51.1,1.82,1.48,99.34,0.35199519396690543
2001-01-02 10:00:00,19.56,39.09,2.21,1.99,99.34,0.5194196077639057
2001-01-02 11:00:00,21.08,34.61,1.94,2.28,99.27,0.733042015927222
2001-01-02 12:00:00,22.17,31.34,1.68,2.42,99.18,0.37429908974326576
2001-01-02 13:00:00,22.8,29.05,1.54,2.21,99.09,0.4875579079028813
2001-01-02 14:00:00,22.93,27.85,1.65,1.77,99.04,0.4409062501598886
2001-01-02 15:00:00,22.43,27.88,1.87,1.14,99.01,0.33903641349294716
2001-01-02 16:00:00,20.7,30.48,1.32,0.44,99.02,0.18335073953576486
2001-01-02 17:00:00,16.83,38.67,1.16,0.02,99.06,0.08285921038399492
2001-01-02 18:00:00,15.38,42.09,1.26,0.0,99.12,0.07644585733085449
2001-01-02 19:00:00,14.44,44.26,1.34,0.0,99.18,0.07467812314348231
2001-01-02 20:00:00,13.64,46.03,1.4,0.0,99.21,0.07280083632313969
2001-01-02 21:00:00,12.91,47.65,1.45,0.0,99.23,0.0708257894673622
2001-01-02 22:00:00,12.17,49.35,1.47,0.0,99.24,0.0679278015471992
2001-01-02 23:00:00,11.45,50.8,1.46,0.0,99.22,0.0646718611803711
2001-01-03 00:00:00,10.76,52.68,1.47,0.0,99.19,0.061584183616032746
2001-01-03 01:00:00,10.12,54.98,1.47,0.0,99.18,0.05807001019306779
2001-01-03 02:00:00,9.55,58.04,1.48,0.0,99.16,0.054268374436103196
2001-01-03 03:00:00,9.04,61.71,1.5,0.0,99.14,0.050265426516854
2001-01-03 04:00:00,8.59,66.18,1.49,0.0,99.15,0.04531577097757508
2001-01-03 05:00:00,8.19,70.53,1.45,0.0,99.22,0.04042149787601563
2001-01-03 06:00:00,7.86,73.98,1.39,0.0,99.3,0.036471239769207124
2001-01-03 07:00:00,9.43,67.26,1.61,0.21,99.4,0.07776900019742146
2001-01-03 08:00:00,12.71,54.13,2.54,0.88,99.48,0.21499256824764257
2001-01-03 09:00:00,16.66,42.05,2.0,1.53,99.53,0.3768929948969721
2001-01-03 10:00:00,21.13,30.08,2.34,2.05,99.51,0.5739806595908071
2001-01-03 11:00:00,22.86,25.79,2.24,2.35,99.42,0.812605384148038
2001-01-03 12:00:00,23.96,23.15,2.2,2.51,99.3,0.41181647666932497
2001-01-03 13:00:00,24.6,21.38,2.16,2.3,99.2,0.5444123000454005
2001-01-03 14:00:00,24.69,20.64,2.26,1.86,99.13,0.5020584636712316
2001-01-03 15:00:00,24.08,21.03,2.48,1.22,99.1,0.3997955243250408
2001-01-03 16:00:00,21.8,24.03,1.57,0.49,99.11,0.2169722821295242
2001-01-03 17:00:00,17.11,32.49,1.32,0.02,99.12,0.0967297149293416
2001-01-03 18:00:00,15.68,35.88,1.51,0.0,99.17,0.09286677220342118
2001-01-03 19:00:00,14.85,38.34,1.72,0.0,99.23,0.09445876742224116
2001-01-03 20:00:00,14.09,40.78,1.91,0.0,99.27,0.09461580925215618
2001-01-03 21:00:00,13.33,43.37,2.06,0.0,99.28,0.0927131669746143
2001-01-03 22:00:00,12.54,46.33,2.13,0.0,99.28,0.0878772420380128
2001-01-03 23:00:00,11.76,49.45,2.1,0.0,99.26,0.08076005990459735
2001-01-04 00:00:00,11.0,52.6,2.01,0.0,99.24,0.07292875511518042
2001-01-04 01:00:00,10.26,56.01,1.87,0.0,99.22,0.06457091399055302
2001-01-04 02:00:00,9.56,59.49,1.71,0.0,99.21,0.056658064032605385
2001-01-04 03:00:00,8.95,62.82,1.6,0.0,99.21,0.050533756101819996
2001-01-04 04:00:00,8.44,65.9,1.54,0.0,99.23,0.04597047287694918
2001-01-04 05:00:00,8.01,68.62,1.51,0.0,99.27,0.04249275890018305
2001-01-04 06:00:00,7.61,71.17,1.49,0.0,99.33,0.039474566478626245
2001-01-04 07:00:00,9.26,64.23,1.73,0.21,99.42,0.08148142959673206
2001-01-04 08:00:00,12.78,51.08,2.79,0.88,99.49,0.22172988244492445
2001-01-04 09:00:00,16.81,38.82,2.27,1.54,99.52,0.38712510574326997
2001-01-04 10:00:00,20.65,26.99,2.92,2.07,99.49,0.5829494134916845
2001-01-04 11:00:00,22.56,21.15,3.12,2.39,99.41,0.8355203799464199
2001-01-04 12:00:00,23.88,17.68,3.1,2.57,99.31,0.44431888519559626
2001-01-04 13:00:00,24.63,15.66,2.94,2.36,99.23,0.5832746460751191
2001-01-04 14:00:00,24.73,14.7,2.82,1.92,99.2,0.5413104815975349
2001-01-04 15:00:00,24.05,14.67,2.98,1.28,99.15,0.4418890575191755
2001-01-04 16:00:00,21.43,16.88,1.74,0.53,99.16,0.2412848782497989
2001-01-04 17:00:00,16.4,22.95,1.46,0.02,99.2,0.11237231336970287
2001-01-04 18:00:00,14.95,25.2,1.67,0.0,99.26,0.11023327234198779
2001-01-04 19:00:00,14.11,26.92,1.89,0.0,99.3,0.11305549427769496
2001-01-04 20:00:00,13.25,29.0,2.02,0.0,99.33,0.1112934255712097
