Year,Month,Radiation,Temperature,Humidity,WindSpeed
2001,1,16.98,16.23,22.36,2.22
2001,2,19.75,20.32,17.38,2.33
2001,3,23.15,26.15,18.01,2.34
2001,4,25.99,31.25,22.45,3.1
2001,5,26.02,34.62,38.26,5.45
2001,6,23.56,34.29,44.54,5.16
2001,7,18.32,31.16,62.1,4.54
2001,8,21.56,31.38,56.01,3.6
2001,9,22.19,31.94,37.43,2.48
2001,10,19.98,30.18,25.54,1.68
2001,11,17.58,23.29,18.98,1.87
2001,12,15.52,19.46,23.65,1.79
2002,1,16.13,16.19,24.94,2.17
2002,2,19.55,19.05,22.75,2.32
2002,3,23.22,26.58,18.99,2.23
2002,4,26.12,31.52,19.86,3.26
2002,5,25.9,34.89,33.36,5.01
2002,6,25.94,36.26,36.58,4.52
2002,7,20.77,34.05,45.0,5.8
2002,8,19.48,33.4,43.94,4.19
2002,9,21.79,31.43,39.04,3.24
2002,10,19.56,30.02,17.8,1.76
2002,11,15.95,23.9,20.67,1.75
2002,12,14.38,19.25,25.22,1.83
2003,1,15.88,16.88,28.34,2.26
2003,2,18.01,19.97,30.13,2.51
2003,3,22.34,25.47,19.41,2.41
2003,4,24.61,31.42,19.8,2.76
2003,5,25.45,33.73,25.86,4.28
2003,6,22.75,34.95,42.52,5.38
2003,7,20.45,31.62,65.01,3.78
2003,8,20.18,30.65,64.71,3.58
2003,9,21.29,30.76,53.14,3.02
2003,10,21.0,28.43,23.01,1.57
2003,11,17.32,21.55,20.6,2.06
2003,12,15.17,17.09,32.26,2.26
2004,1,15.99,16.88,34.04,2.33
2004,2,20.2,20.58,24.47,2.07
2004,3,24.56,28.07,13.33,1.88
2004,4,25.13,31.88,26.32,3.04
2004,5,25.02,33.91,31.7,4.1
2004,6,24.3,35.11,40.12,4.83
2004,7,23.09,34.08,44.94,5.12
2004,8,21.01,32.22,53.65,3.55
2004,9,21.72,32.13,45.09,2.85
2004,10,19.19,27.15,32.35,1.79
2004,11,16.57,23.99,23.71,1.54
2004,12,14.13,19.06,28.01,1.96
2005,1,15.4,15.28,34.89,2.35
2005,2,18.44,19.03,33.09,2.2
2005,3,23.13,25.83,28.62,2.25
2005,4,25.53,30.02,17.34,2.16
2005,5,26.19,33.5,29.83,3.37
2005,6,25.67,35.14,39.74,4.25
2005,7,21.82,33.77,49.01,4.63
2005,8,21.66,32.36,51.05,4.3
2005,9,20.82,32.09,47.96,2.72
2005,10,20.77,28.68,26.04,1.79
2005,11,17.09,23.45,23.56,1.69
2005,12,15.52,16.83,21.99,2.19
2006,1,16.22,16.6,24.84,2.38
2006,2,19.07,23.91,25.39,2.01
2006,3,23.1,25.0,26.21,2.14
2006,4,25.22,31.0,23.45,2.65
2006,5,25.85,34.87,33.57,4.41
2006,6,24.03,34.43,40.59,4.16
2006,7,19.0,33.68,52.25,4.49
2006,8,17.09,29.01,75.75,2.92
2006,9,20.86,28.61,68.72,2.18
2006,10,20.13,27.41,51.72,1.94
2006,11,16.56,23.0,37.77,1.38
2006,12,14.53,16.92,42.7,2.14
2007,1,16.06,16.24,30.18,2.09
2007,2,18.7,20.31,42.78,2.29
2007,3,22.93,24.46,32.96,2.36
2007,4,26.34,32.14,23.65,2.66
2007,5,26.68,34.14,30.52,3.5
2007,6,24.56,34.75,45.58,5.04
2007,7,21.56,33.71,51.94,4.66
2007,8,21.15,32.15,56.36,3.47
2007,9,21.34,32.38,46.88,2.5
2007,10,21.01,27.94,23.0,1.85
2007,11,17.23,24.71,20.84,1.47
2007,12,14.85,16.82,30.7,2.3
2008,1,15.43,15.14,24.5,2.7
2008,2,19.97,18.2,19.95,2.01
2008,3,22.41,27.52,18.98,2.13
2008,4,25.33,30.44,27.74,2.4
2008,5,25.51,33.31,39.35,4.98
2008,6,22.78,33.96,48.78,4.68
2008,7,20.43,33.06,51.81,4.66
2008,8,19.52,30.74,61.63,3.45
2008,9,21.75,31.08,49.61,2.89
2008,10,20.51,29.77,29.96,1.79
2008,11,16.62,23.47,23.05,1.87
2008,12,13.93,19.34,36.88,2.29
2009,1,15.28,17.45,37.28,2.37
2009,2,19.14,21.5,27.49,2.04
2009,3,22.78,26.64,24.34,2.28
2009,4,26.01,30.67,19.16,2.69
2009,5,25.86,35.36,29.65,4.03
2009,6,25.34,34.9,39.74,4.2
2009,7,20.95,33.67,54.08,3.65
2009,8,21.26,32.56,55.6,4.18
2009,9,23.03,31.9,44.87,2.93
2009,10,20.19,29.15,24.92,1.73
2009,11,15.9,22.62,24.69,1.87
2009,12,14.38,18.35,27.31,2.24
2010,1,15.86,17.31,26.24,2.11
2010,2,19.2,20.27,20.61,2.27
2010,3,23.12,28.29,23.55,2.24
2010,4,25.04,32.96,22.42,3.12
2010,5,25.93,35.71,27.82,4.22
2010,6,24.62,35.05,41.39,4.73
2010,7,20.68,33.21,55.89,3.56
2010,8,20.34,30.79,65.83,2.83
2010,9,20.3,29.29,61.21,2.09
2010,10,20.07,28.84,42.1,1.71
2010,11,14.19,22.38,45.23,1.92
2010,12,15.32,16.26,36.22,1.93
2011,1,16.71,15.28,28.94,2.22
2011,2,19.13,19.28,36.39,2.29
2011,3,23.82,25.96,24.87,2.24
2011,4,26.07,30.2,20.93,2.41
2011,5,27.13,34.09,37.09,4.47
2011,6,23.16,35.67,40.24,4.98
2011,7,21.11,33.49,50.52,3.83
2011,8,20.18,31.3,63.7,3.23
2011,9,19.5,28.12,73.73,3.3
2011,10,20.52,27.42,42.82,1.86
2011,11,16.23,25.07,39.61,1.4
2011,12,15.06,17.66,29.96,2.1
2012,1,15.91,15.02,32.95,2.14
2012,2,19.76,17.11,21.28,2.4
2012,3,23.35,24.63,20.43,2.39
2012,4,24.47,30.99,25.82,2.4
2012,5,26.7,33.67,33.24,3.75
2012,6,24.87,34.68,42.02,5.52
2012,7,20.28,34.25,47.11,5.02
2012,8,18.1,31.35,58.56,3.04
2012,9,18.92,28.96,65.5,2.28
2012,10,20.34,26.9,38.45,1.63
2012,11,16.33,22.0,34.43,1.66
2012,12,15.08,17.28,33.71,2.36
2013,1,16.25,14.69,32.34,2.15
2013,2,19.16,18.43,39.74,2.82
2013,3,23.43,25.14,25.59,2.15
2013,4,24.99,29.88,30.07,2.4
2013,5,26.99,33.95,28.88,4.19
2013,6,24.1,34.74,45.87,4.64
2013,7,21.35,33.5,53.28,4.09
2013,8,20.9,31.18,60.08,3.42
2013,9,20.53,31.09,51.57,2.93
2013,10,19.85,28.52,46.95,1.89
2013,11,16.49,22.15,33.27,1.7
2013,12,15.22,17.54,29.88,1.95
2014,1,15.78,14.94,33.76,2.52
2014,2,18.41,18.56,28.15,2.53
2014,3,22.63,24.71,25.82,2.43
2014,4,25.85,31.1,23.96,2.4
2014,5,25.58,33.48,34.54,3.87
2014,6,25.44,34.96,41.67,5.98
2014,7,20.85,33.17,52.2,4.66
2014,8,20.95,31.56,55.88,3.63
2014,9,21.28,29.96,55.89,3.17
2014,10,19.39,28.55,33.17,1.85
2014,11,15.82,23.56,28.12,1.75
2014,12,15.03,17.23,25.4,2.08
2015,1,15.34,15.97,35.74,2.3
2015,2,18.97,20.53,29.89,2.46
2015,3,22.11,24.59,30.89,2.33
2015,4,24.28,31.3,28.33,2.95
2015,5,26.51,34.64,30.2,3.33
2015,6,24.42,34.47,43.64,3.67
2015,7,18.02,31.96,60.37,4.31
2015,8,21.27,30.36,64.32,3.95
2015,9,21.99,29.95,50.78,2.58
2015,10,20.35,28.35,35.89,2.06
2015,11,15.24,22.31,34.11,2.19
2015,12,15.15,17.46,25.13,1.9
2016,1,15.43,18.08,32.9,1.83
2016,2,19.45,20.16,21.31,2.37
2016,3,22.53,26.65,29.34,2.44
2016,4,25.14,30.88,26.29,2.85
2016,5,26.33,34.99,33.25,5.0
2016,6,24.61,35.1,41.22,4.51
2016,7,20.35,33.54,51.42,4.67
2016,8,18.91,30.61,64.55,2.81
2016,9,23.02,30.36,52.35,2.83
2016,10,19.46,28.19,44.62,2.02
2016,11,16.78,23.5,24.62,1.55
2016,12,15.43,20.9,26.92,1.68
2017,1,14.73,16.26,34.24,2.32
2017,2,19.58,20.4,22.5,2.26
2017,3,23.24,25.83,22.52,2.13
2017,4,26.3,31.16,26.18,3.4
2017,5,26.09,34.83,31.15,3.6
2017,6,23.51,34.31,49.29,4.79
2017,7,18.01,30.28,70.48,3.66
2017,8,19.95,30.08,66.01,3.79
2017,9,20.71,30.09,55.48,2.62
2017,10,20.68,29.23,30.52,1.71
2017,11,15.91,22.2,27.91,1.81
2017,12,14.06,17.88,29.78,2.35
2018,1,16.12,18.24,25.26,1.71
2018,2,18.17,22.08,24.88,1.95
2018,3,23.43,27.24,22.47,2.08
2018,4,25.11,32.08,22.9,2.65
2018,5,26.18,35.23,24.63,3.18
2018,6,23.35,34.58,44.93,5.43
2018,7,18.41,32.69,54.6,4.61
2018,8,17.36,31.37,56.39,4.28
2018,9,21.17,30.46,46.64,3.1
2018,10,19.49,28.93,22.87,1.63
2018,11,16.28,23.66,23.48,1.63
2018,12,15.23,17.04,25.21,1.93
2019,1,15.28,16.41,31.86,2.09
2019,2,18.53,18.04,29.68,2.57
2019,3,22.41,24.53,28.32,2.51
2019,4,25.48,32.28,23.5,2.9
2019,5,26.36,33.26,32.87,3.29
2019,6,24.73,35.56,39.77,4.09
2019,7,20.0,34.37,50.14,5.29
2019,8,18.29,31.51,61.68,3.49
2019,9,19.22,31.25,62.92,2.28
2019,10,18.56,28.16,49.26,1.49
2019,11,13.64,22.73,53.05,2.25
2019,12,14.41,15.61,42.99,2.51
2020,1,15.17,14.69,46.12,2.36
2020,2,19.26,19.71,30.04,2.13
2020,3,21.58,23.65,36.9,2.33
2020,4,25.05,31.5,29.17,2.7
2020,5,26.84,34.67,34.41,4.0
2020,6,25.35,35.07,45.33,4.33
2020,7,22.3,33.51,55.5,4.31
2020,8,17.98,31.68,65.85,3.6
2020,9,20.51,30.36,63.2,2.39
2020,10,19.25,28.32,38.41,1.76
2020,11,16.29,21.39,35.62,2.05
2020,12,15.11,17.8,33.49,2.23
2021,1,15.64,15.8,32.6,2.51
2021,2,19.71,22.4,23.28,2.02
2021,3,22.93,28.19,24.62,2.58
2021,4,26.19,31.6,20.7,2.81
2021,5,24.61,33.79,36.98,4.24
2021,6,24.29,33.92,48.97,5.14
2021,7,19.08,32.65,58.53,5.04
2021,8,21.65,32.17,51.4,4.69
2021,9,18.04,31.18,62.51,2.44
2021,10,19.69,28.03,41.8,2.38
2021,11,15.56,23.43,30.72,1.8
2021,12,13.72,17.79,36.02,2.03
2022,1,15.06,16.16,46.26,2.13
2022,2,19.49,20.86,30.78,2.33
2022,3,23.29,28.12,24.63,2.79
2022,4,25.85,33.03,24.11,3.57
2022,5,25.04,35.08,32.02,4.9
2022,6,24.41,34.4,43.55,5.19
2022,7,17.01,30.4,71.74,3.76
2022,8,16.43,29.01,75.78,3.54
2022,9,21.35,29.32,68.55,2.83
2022,10,20.0,27.5,44.26,1.73
2022,11,16.53,23.51,37.89,1.68
2022,12,15.21,18.85,31.48,1.97
2023,1,15.98,15.13,31.22,2.34
2023,2,19.82,23.18,25.31,1.87
2023,3,20.79,26.28,32.25,2.21
2023,4,24.28,29.8,29.91,2.65
2023,5,25.16,32.69,38.85,3.87
2023,6,22.36,32.17,57.93,4.77
2023,7,20.2,31.17,70.13,3.9
2023,8,17.61,30.04,65.37,4.97
2023,9,20.21,31.28,55.81,2.89
2023,10,19.41,28.7,45.34,2.32
2023,11,13.87,23.2,41.22,1.77
2023,12,14.23,18.63,35.95,2.08
2024,1,15.2,16.56,36.05,2.12
2024,2,17.92,19.48,31.18,2.5
2024,3,22.6,25.06,25.57,2.54
2024,4,22.48,30.77,27.5,2.83
2024,5,25.83,35.99,25.77,3.85
2024,6,23.99,35.45,42.66,4.24
2024,7,19.02,34.06,56.71,3.85
2024,8,15.67,29.99,72.72,3.97
2024,9,20.07,30.61,63.91,2.78
2024,10,18.42,30.16,47.85,1.92
2024,11,16.37,24.95,35.9,1.5
2024,12,13.9,16.46,36.95,2.54
2025,1,15.82,17.24,32.18,2.21
2025,2,17.87,21.85,26.85,2.26
2025,3,23.46,26.76,21.17,2.53
2025,4,26.31,32.99,20.1,3.33
2025,5,24.5,34.65,36.29,3.92
2025,6,20.57,33.87,48.41,4.38
2025,7,15.87,31.37,64.4,4.22
2025,8,18.58,30.75,64.18,3.66
2025,9,19.77,29.91,62.76,3.3
