date and time,T,RH,WS,Rs,P
2001-01-01 00:00:00,12.02,43.44,2.48,0.0,98.82
2001-01-01 01:00:00,11.26,51.22,2.49,0.0,98.79
2001-01-01 02:00:00,10.55,61.74,2.43,0.0,98.75
2001-01-01 03:00:00,9.95,72.77,2.33,0.0,98.75
2001-01-01 04:00:00,9.46,82.93,2.23,0.0,98.76
2001-01-01 05:00:00,9.32,95.03,2.36,0.0,98.8
2001-01-01 06:00:00,9.02,99.25,2.34,0.0,98.88
2001-01-01 07:00:00,9.66,95.93,2.92,0.21,98.97
2001-01-01 08:00:00,11.73,83.73,3.5,0.94,99.03
2001-01-01 09:00:00,14.99,64.95,3.22,1.63,99.08
2001-01-01 10:00:00,18.77,40.82,3.69,2.17,99.11
2001-01-01 11:00:00,20.99,30.46,4.11,2.5,99.06
2001-01-01 12:00:00,22.15,26.27,4.43,2.48,98.97
2001-01-01 13:00:00,22.69,24.26,4.56,2.3,98.89
2001-01-01 14:00:00,22.69,23.78,4.5,1.88,98.83
2001-01-01 15:00:00,22.11,24.63,4.27,1.26,98.81
2001-01-01 16:00:00,20.83,27.02,3.41,0.55,98.8
2001-01-01 17:00:00,17.02,35.28,1.57,0.04,98.84
2001-01-01 18:00:00,15.49,39.82,1.58,0.0,98.92
2001-01-01 19:00:00,14.63,42.79,1.6,0.0,99.0
2001-01-01 20:00:00,13.88,45.44,1.58,0.0,99.05
2001-01-01 21:00:00,13.24,47.38,1.53,0.0,99.06
2001-01-01 22:00:00,12.71,48.83,1.45,0.0,99.05
2001-01-01 23:00:00,12.33,49.72,1.35,0.0,99.03
2001-01-02 00:00:00,12.16,49.83,1.26,0.0,99.02
2001-01-02 01:00:00,12.08,49.65,1.17,0.0,99.03
2001-01-02 02:00:00,11.9,50.02,1.1,0.0,99.03
2001-01-02 03:00:00,11.55,51.08,1.08,0.0,99.04
2001-01-02 04:00:00,11.09,52.43,1.1,0.0,99.06
2001-01-02 05:00:00,10.59,54.11,1.13,0.0,99.11
2001-01-02 06:00:00,10.09,55.98,1.14,0.0,99.18
2001-01-02 07:00:00,10.38,54.95,1.03,0.16,99.26
2001-01-02 08:00:00,13.08,46.11,1.66,0.8,99.33
2001-01-02 09:00:00,15.75,38.73,1.51,1.46,99.4
