Year,Month,Radiation,Temperature,Humidity,WindSpeed
2001,1,15.08,14.97,25.91,1.8
2001,2,18.28,19.13,17.73,2.06
2001,3,22.2,25.06,16.16,2.05
2001,4,24.75,30.53,19.41,2.74
2001,5,25.87,35.62,30.08,4.31
2001,6,23.63,35.39,38.67,3.71
2001,7,22.13,33.42,52.16,3.84
2001,8,22.61,33.06,47.68,3.31
2001,9,22.58,32.6,31.28,2.34
2001,10,18.99,29.3,21.62,1.57
2001,11,16.27,22.29,18.03,1.64
2001,12,13.58,18.2,24.71,1.52
2002,1,14.62,15.5,27.54,1.62
2002,2,17.97,17.69,23.27,1.93
2002,3,22.98,25.83,17.48,1.99
2002,4,25.5,31.65,14.35,2.54
2002,5,26.24,36.35,19.47,3.92
2002,6,25.65,38.18,25.32,3.59
2002,7,23.48,36.7,32.58,4.67
2002,8,21.23,35.82,33.92,3.04
2002,9,20.69,32.92,29.37,2.21
2002,10,18.63,29.41,18.55,1.64
2002,11,14.43,22.48,25.12,1.8
2002,12,12.95,17.61,27.59,1.59
2003,1,14.13,15.6,29.71,1.77
2003,2,17.34,18.58,32.51,1.99
2003,3,21.29,24.49,19.45,2.19
2003,4,25.43,31.08,16.99,2.44
2003,5,25.73,34.23,15.34,3.05
2003,6,21.93,37.04,30.96,3.99
2003,7,21.67,32.69,59.11,3.18
2003,8,22.11,33.24,51.83,2.83
2003,9,21.7,32.51,43.33,2.23
2003,10,19.55,27.74,23.77,1.46
2003,11,16.17,20.15,22.51,1.69
2003,12,12.94,16.18,34.97,1.65
2004,1,13.34,15.57,38.35,1.84
2004,2,18.83,19.92,24.65,1.76
2004,3,23.71,27.38,13.15,1.87
2004,4,24.26,32.15,18.13,2.62
2004,5,25.56,34.91,23.12,3.51
2004,6,24.22,36.69,30.35,3.77
2004,7,23.59,36.63,33.45,4.17
2004,8,22.93,33.17,50.33,2.7
2004,9,21.67,33.09,36.81,2.52
2004,10,17.22,26.71,30.65,1.8
2004,11,15.5,22.96,24.14,1.43
2004,12,13.01,17.6,29.78,1.75
2005,1,13.82,13.88,42.57,1.84
2005,2,16.04,16.89,41.1,1.95
2005,3,21.87,24.77,34.5,1.97
2005,4,24.93,29.48,16.62,2.16
2005,5,25.85,33.42,21.23,2.66
2005,6,24.32,37.19,28.91,3.74
2005,7,23.13,35.32,44.58,3.08
2005,8,24.61,34.47,41.35,4.14
2005,9,20.79,31.83,46.98,2.6
2005,10,19.74,27.99,25.63,1.88
2005,11,15.35,21.89,24.68,1.66
2005,12,13.63,15.89,21.45,1.54
2006,1,14.35,15.15,25.79,1.83
2006,2,17.58,22.9,24.45,1.81
2006,3,21.51,23.85,30.9,2.05
2006,4,24.87,30.95,16.93,2.5
2006,5,25.11,36.72,22.59,3.59
2006,6,23.45,35.37,32.78,3.45
2006,7,21.85,35.84,42.81,3.99
2006,8,21.66,33.08,51.84,3.12
2006,9,21.38,31.78,47.04,2.46
2006,10,18.64,28.23,40.35,2.17
2006,11,14.67,22.21,34.79,1.69
2006,12,12.99,15.99,42.83,1.86
2007,1,14.36,15.08,28.74,1.68
2007,2,16.68,18.55,47.8,2.27
2007,3,21.79,23.14,36.11,2.07
2007,4,26.24,32.15,20.94,2.31
2007,5,25.85,35.08,21.74,2.63
2007,6,25.32,36.52,37.68,4.16
2007,7,23.39,35.56,43.63,3.97
2007,8,22.71,33.98,47.48,3.35
2007,9,20.42,33.12,40.47,2.06
2007,10,19.79,27.86,18.25,1.47
2007,11,15.64,23.32,22.19,1.46
2007,12,13.0,15.26,34.29,1.77
2008,1,13.61,13.43,27.71,1.95
2008,2,17.93,17.25,24.2,1.89
2008,3,22.48,26.9,15.86,1.86
2008,4,24.75,30.02,25.72,1.97
2008,5,25.19,34.12,30.31,3.26
2008,6,22.94,34.95,44.5,3.57
2008,7,22.96,34.89,45.16,3.83
2008,8,21.68,32.01,56.29,2.95
2008,9,22.05,31.59,44.65,2.47
2008,10,19.24,29.08,27.79,1.77
2008,11,15.24,22.52,24.66,1.55
2008,12,12.2,18.38,35.59,1.68
2009,1,13.66,15.77,39.8,1.88
2009,2,17.87,19.34,31.53,1.9
2009,3,21.47,25.43,24.66,2.21
2009,4,25.6,30.23,20.13,2.27
2009,5,25.99,36.2,20.46,2.39
2009,6,25.54,36.45,28.05,3.31
2009,7,23.79,34.47,49.54,2.85
2009,8,23.33,34.64,45.98,3.53
2009,9,22.72,32.26,37.46,2.62
2009,10,18.2,28.3,25.58,1.88
2009,11,14.07,21.03,29.25,1.7
2009,12,12.93,16.97,29.77,1.88
2010,1,13.23,15.69,30.15,1.89
2010,2,17.4,18.94,23.23,1.96
2010,3,22.58,27.7,19.53,2.12
2010,4,24.02,33.3,15.31,2.32
2010,5,25.96,36.34,18.86,3.05
2010,6,23.94,36.1,32.66,3.33
2010,7,21.7,34.84,48.68,3.23
2010,8,22.06,32.57,57.26,2.58
2010,9,20.2,30.11,53.13,1.96
2010,10,18.84,28.26,37.65,1.88
2010,11,14.04,22.32,39.46,1.46
