,T,RH,WS,Rs,P
2001-01-01 00:00:00,10.1,47.49,1.27,0.0,98.41
2001-01-01 01:00:00,9.13,56.37,1.3,0.0,98.36
2001-01-01 02:00:00,8.29,69.43,1.37,0.0,98.35
2001-01-01 03:00:00,7.69,83.54,1.49,0.0,98.35
2001-01-01 04:00:00,7.31,95.58,1.59,0.0,98.37
2001-01-01 05:00:00,7.73,100.0,1.47,0.0,98.4
2001-01-01 06:00:00,7.99,100.0,1.61,0.0,98.49
2001-01-01 07:00:00,8.87,98.0,2.41,0.14,98.57
2001-01-01 08:00:00,10.81,87.92,3.38,0.53,98.63
2001-01-01 09:00:00,13.54,76.13,3.59,0.77,98.69
2001-01-01 10:00:00,16.1,63.87,3.81,0.94,98.71
2001-01-01 11:00:00,18.17,52.61,3.89,1.04,98.67
2001-01-01 12:00:00,19.21,46.01,3.89,1.18,98.6
2001-01-01 13:00:00,19.59,43.53,4.05,0.92,98.54
2001-01-01 14:00:00,19.48,43.4,4.21,0.77,98.51
2001-01-01 15:00:00,18.93,44.69,4.22,0.53,98.51
2001-01-01 16:00:00,17.89,47.79,3.6,0.23,98.52
2001-01-01 17:00:00,15.87,54.95,1.93,0.0,98.55
2001-01-01 18:00:00,15.32,57.69,1.96,0.0,98.62
2001-01-01 19:00:00,14.56,61.38,1.83,0.0,98.68
2001-01-01 20:00:00,13.7,65.93,1.65,0.0,98.73
2001-01-01 21:00:00,12.43,72.86,1.43,0.0,98.74
2001-01-01 22:00:00,11.62,78.01,1.28,0.0,98.75
2001-01-01 23:00:00,10.93,82.75,1.17,0.0,98.75
2001-01-02 00:00:00,10.34,86.94,1.1,0.0,98.75
2001-01-02 01:00:00,9.82,90.82,1.05,0.0,98.77
2001-01-02 02:00:00,9.34,94.23,1.03,0.0,98.8
2001-01-02 03:00:00,8.94,96.69,1.04,0.0,98.82
2001-01-02 04:00:00,8.66,97.87,1.03,0.0,98.85
2001-01-02 05:00:00,8.46,97.97,1.04,0.0,98.9
2001-01-02 06:00:00,8.26,97.78,1.06,0.0,98.95
2001-01-02 07:00:00,9.07,91.09,0.97,0.13,99.0
2001-01-02 08:00:00,11.88,74.41,2.06,0.57,99.05
2001-01-02 09:00:00,15.04,58.29,1.88,0.93,99.11
2001-01-02 10:00:00,18.45,42.4,1.91,1.22,99.13
2001-01-02 11:00:00,19.93,36.68,1.42,1.76,99.11
2001-01-02 12:00:00,20.91,32.84,1.01,2.2,99.03
2001-01-02 13:00:00,21.45,30.32,0.65,1.99,98.96
2001-01-02 14:00:00,21.53,29.06,0.5,1.57,98.92
2001-01-02 15:00:00,21.15,29.04,0.9,0.98,98.9
2001-01-02 16:00:00,19.74,31.41,0.83,0.37,98.91
2001-01-02 17:00:00,17.23,36.94,1.06,0.0,98.94
2001-01-02 18:00:00,15.8,40.48,1.23,0.0,99.0
2001-01-02 19:00:00,14.67,43.65,1.31,0.0,99.06
2001-01-02 20:00:00,13.81,46.26,1.33,0.0,99.08
2001-01-02 21:00:00,13.18,48.42,1.33,0.0,99.09
2001-01-02 22:00:00,12.69,50.1,1.32,0.0,99.09
2001-01-02 23:00:00,12.24,51.59,1.28,0.0,99.07
2001-01-03 00:00:00,11.88,53.05,1.25,0.0,99.04
2001-01-03 01:00:00,11.56,54.53,1.2,0.0,99.03
2001-01-03 02:00:00,11.05,56.75,1.2,0.0,99.01
2001-01-03 03:00:00,10.39,59.8,1.23,0.0,99.01
2001-01-03 04:00:00,9.85,62.79,1.24,0.0,99.02
2001-01-03 05:00:00,9.46,65.57,1.24,0.0,99.08
2001-01-03 06:00:00,9.14,68.14,1.23,0.0,99.16
2001-01-03 07:00:00,9.69,66.77,1.07,0.15,99.24
2001-01-03 08:00:00,12.62,55.88,1.93,0.68,99.31
2001-01-03 09:00:00,15.23,47.46,1.64,1.16,99.37
2001-01-03 10:00:00,19.1,35.21,1.23,1.53,99.36
2001-01-03 11:00:00,20.63,30.76,1.15,2.06,99.28
2001-01-03 12:00:00,21.6,27.78,1.16,2.28,99.18
2001-01-03 13:00:00,22.2,25.63,1.37,2.04,99.07
2001-01-03 14:00:00,22.3,24.4,1.72,1.58,99.02
2001-01-03 15:00:00,21.8,24.18,2.04,0.96,99.0
2001-01-03 16:00:00,19.66,26.83,1.18,0.35,98.99
2001-01-03 17:00:00,16.33,32.57,1.27,0.0,99.01
2001-01-03 18:00:00,14.92,35.21,1.37,0.0,99.07
2001-01-03 19:00:00,13.83,37.8,1.45,0.0,99.12
2001-01-03 20:00:00,12.89,40.74,1.48,0.0,99.15
2001-01-03 21:00:00,12.1,43.81,1.46,0.0,99.15
2001-01-03 22:00:00,11.51,46.59,1.4,0.0,99.14
2001-01-03 23:00:00,11.18,48.56,1.34,0.0,99.1
2001-01-04 00:00:00,11.02,49.67,1.28,0.0,99.07
2001-01-04 01:00:00,10.92,50.35,1.21,0.0,99.04
2001-01-04 02:00:00,10.7,51.46,1.14,0.0,99.04
2001-01-04 03:00:00,10.34,53.09,1.1,0.0,99.04
2001-01-04 04:00:00,9.88,55.14,1.11,0.0,99.05
2001-01-04 05:00:00,9.26,57.93,1.18,0.0,99.1
2001-01-04 06:00:00,8.65,60.97,1.23,0.0,99.17
2001-01-04 07:00:00,8.89,60.6,1.12,0.15,99.25
2001-01-04 08:00:00,12.04,49.7,1.98,0.75,99.32
2001-01-04 09:00:00,14.68,42.14,1.76,1.37,99.36
2001-01-04 10:00:00,18.64,30.25,1.76,1.89,99.35
