Year,Month,Radiation,Temperature,Humidity,WindSpeed
2001,1,16.6,16.07,22.13,1.97
2001,2,19.04,20.09,17.25,2.26
2001,3,22.88,25.93,17.81,2.44
2001,4,25.51,31.33,22.39,3.33
2001,5,26.29,35.35,36.32,5.42
2001,6,24.1,35.55,39.71,5.34
2001,7,20.45,32.43,58.44,4.57
2001,8,22.62,32.0,54.15,3.91
2001,9,22.57,32.31,34.8,2.94
2001,10,19.93,30.27,20.28,1.78
2001,11,17.27,23.65,17.5,1.79
2001,12,14.96,19.13,23.62,1.67
2002,1,15.84,16.29,23.03,1.82
2002,2,19.22,18.59,22.76,2.24
2002,3,23.11,26.43,19.24,2.21
2002,4,25.94,31.68,18.66,3.15
2002,5,26.2,35.65,28.81,4.68
2002,6,26.47,36.94,33.86,4.47
2002,7,22.47,35.06,40.73,5.59
2002,8,21.09,34.27,39.98,4.28
2002,9,21.94,31.74,38.39,3.3
2002,10,19.38,30.03,17.09,1.65
2002,11,15.31,23.66,21.88,1.72
2002,12,14.01,18.34,25.13,1.66
2003,1,15.42,16.64,28.99,1.88
2003,2,17.66,19.54,32.92,2.26
2003,3,22.06,25.28,19.3,2.27
2003,4,24.88,31.25,18.99,2.79
2003,5,25.63,34.25,22.22,3.78
2003,6,24.01,36.4,37.09,5.04
2003,7,21.91,33.3,57.83,3.77
2003,8,22.09,32.45,56.62,3.67
2003,9,22.14,31.68,47.23,3.19
2003,10,20.9,29.22,17.93,1.49
2003,11,17.08,21.02,19.21,1.84
2003,12,14.74,16.74,29.7,1.85
2004,1,15.18,16.34,35.06,2.12
2004,2,19.84,20.73,23.55,1.88
2004,3,24.4,28.23,12.38,1.81
2004,4,25.12,32.43,22.06,2.76
2004,5,25.26,34.78,27.5,3.85
2004,6,24.75,36.4,35.22,4.49
2004,7,24.18,35.36,39.97,5.29
2004,8,23.17,34.64,42.92,3.65
2004,9,22.08,33.19,38.55,3.05
2004,10,18.75,27.17,30.17,1.98
2004,11,16.38,23.94,20.92,1.47
2004,12,13.89,18.43,26.64,1.88
2005,1,14.95,14.94,34.98,2.03
2005,2,17.73,18.43,33.31,2.07
2005,3,22.64,25.75,29.09,2.02
2005,4,25.34,30.36,15.38,2.17
2005,5,26.26,33.47,28.08,2.74
2005,6,26.03,36.23,35.59,4.11
2005,7,23.42,35.4,44.24,4.17
2005,8,23.78,33.81,45.21,4.41
2005,9,21.47,32.08,48.57,2.77
2005,10,20.77,28.45,26.13,1.9
2005,11,16.67,23.16,22.74,1.58
2005,12,15.15,16.38,21.13,1.78
2006,1,15.65,15.64,24.39,1.83
2006,2,18.41,23.46,25.12,1.83
2006,3,22.43,24.77,27.41,2.06
2006,4,25.03,31.12,21.67,2.63
2006,5,25.88,35.84,30.48,4.19
2006,6,24.82,35.43,36.91,3.9
2006,7,21.12,35.49,45.03,4.51
2006,8,19.37,30.59,68.95,2.62
2006,9,21.06,29.59,63.23,2.36
2006,10,20.04,27.85,51.11,2.19
2006,11,16.24,22.97,37.69,1.44
2006,12,13.72,15.75,46.15,1.89
2007,1,15.55,15.82,28.58,1.8
2007,2,18.27,19.75,44.2,2.27
2007,3,22.34,24.19,34.72,2.3
2007,4,26.25,32.54,22.35,2.78
2007,5,26.99,35.01,26.28,3.12
2007,6,25.39,36.19,40.74,4.96
2007,7,23.1,35.56,45.33,4.47
2007,8,22.24,33.49,51.6,3.44
2007,9,21.85,33.08,42.79,2.23
2007,10,20.93,28.78,18.34,1.58
2007,11,16.94,24.5,19.32,1.48
2007,12,14.51,16.12,30.14,1.95
2008,1,14.83,13.97,25.45,2.25
2008,2,19.25,18.03,19.26,1.98
2008,3,22.62,27.52,17.27,2.08
2008,4,25.25,31.0,24.75,2.16
2008,5,25.92,34.49,34.37,4.28
2008,6,23.26,35.94,41.5,4.71
2008,7,22.34,34.93,44.48,4.69
2008,8,21.84,31.88,57.3,3.42
2008,9,22.09,32.2,42.17,3.02
2008,10,20.42,30.13,27.35,2.0
2008,11,16.67,23.0,21.2,1.71
2008,12,13.17,17.86,42.54,1.9
2009,1,14.48,16.02,44.9,2.01
2009,2,18.64,20.63,28.97,1.98
2009,3,22.08,26.4,23.88,2.16
2009,4,25.89,30.88,19.11,2.44
2009,5,26.05,36.34,24.78,3.48
2009,6,25.41,35.71,34.52,4.02
2009,7,23.02,35.43,47.11,3.59
2009,8,22.41,34.32,48.37,4.39
2009,9,23.06,32.88,38.95,3.02
2009,10,19.8,29.56,20.89,1.73
2009,11,15.7,22.14,22.18,1.77
2009,12,13.91,17.63,26.07,1.95
2010,1,15.51,16.52,27.08,1.95
2010,2,18.89,20.08,19.7,2.01
2010,3,23.04,28.76,20.58,2.09
2010,4,24.84,33.39,19.69,2.65
2010,5,26.05,36.45,24.01,3.6
2010,6,24.81,34.57,44.19,4.29
2010,7,21.87,34.82,49.4,3.44
2010,8,21.07,31.75,61.73,2.79
2010,9,21.48,30.39,54.52,2.2
2010,10,20.05,29.12,36.1,2.01
2010,11,14.91,22.49,34.6,1.74
2010,12,15.08,15.99,28.3,1.88
2011,1,16.03,15.07,24.99,1.95
2011,2,18.14,18.93,34.5,2.2
2011,3,23.25,26.03,22.05,2.16
2011,4,25.63,30.08,20.29,2.52
2011,5,27.15,35.31,32.28,4.25
2011,6,23.72,36.88,35.77,4.81
2011,7,23.0,34.88,45.7,3.72
2011,8,20.76,33.03,56.41,3.15
2011,9,19.59,29.08,70.16,3.25
2011,10,20.41,27.57,41.52,2.03
2011,11,15.48,25.28,36.75,1.5
2011,12,14.67,16.73,24.66,1.91
2012,1,15.42,14.7,30.16,1.91
2012,2,19.43,16.55,18.52,2.12
2012,3,23.01,24.43,17.7,2.44
2012,4,24.54,30.72,26.15,2.37
2012,5,26.72,34.45,28.96,3.81
2012,6,25.35,35.56,38.07,5.19
2012,7,23.09,35.83,41.41,5.04
2012,8,20.65,32.76,52.69,3.29
2012,9,19.84,30.04,58.85,2.91
2012,10,20.27,26.89,34.6,1.84
2012,11,16.07,22.42,26.43,1.61
2012,12,14.45,17.09,30.39,1.96
2013,1,15.92,14.76,27.15,1.89
2013,2,18.57,17.87,42.01,2.55
2013,3,22.83,24.88,26.74,2.16
2013,4,24.47,29.76,29.06,2.43
2013,5,27.06,34.56,24.85,3.72
2013,6,24.97,35.7,41.77,4.84
2013,7,23.56,35.39,45.91,4.15
2013,8,22.07,32.47,54.23,3.58
2013,9,22.26,32.3,43.64,3.17
2013,10,19.71,30.12,35.4,1.97
2013,11,16.02,22.52,27.08,1.74
2013,12,14.91,17.4,25.54,1.73
2014,1,15.44,14.69,30.58,2.12
2014,2,18.38,17.99,25.72,2.35
2014,3,22.22,24.6,24.86,2.41
2014,4,25.57,31.05,23.91,2.33
2014,5,25.66,34.19,31.52,3.22
2014,6,26.15,36.35,36.69,6.11
2014,7,22.86,34.81,45.94,4.99
2014,8,22.86,33.43,47.34,3.97
2014,9,22.59,31.51,46.56,3.59
2014,10,19.31,28.9,27.55,2.08
2014,11,15.65,23.12,24.06,1.71
2014,12,14.68,16.95,22.51,1.87
2015,1,15.0,15.53,35.03,2.0
2015,2,18.18,20.15,30.14,2.44
2015,3,21.83,23.63,33.83,2.36
2015,4,24.13,31.29,27.3,2.76
2015,5,26.48,35.49,26.11,3.08
2015,6,24.42,35.62,38.96,3.34
2015,7,20.41,33.21,55.97,4.0
2015,8,23.34,31.03,61.72,4.0
2015,9,22.31,29.98,50.13,2.81
2015,10,20.11,27.5,41.43,2.22
2015,11,14.99,21.52,33.61,1.99
2015,12,14.74,17.0,24.04,1.77
2016,1,14.78,17.23,32.61,1.81
2016,2,19.29,19.93,20.11,2.13
2016,3,22.06,26.11,30.99,2.42
2016,4,25.2,31.36,23.77,2.57
2016,5,26.54,35.65,31.11,4.64
2016,6,24.7,36.3,37.34,4.32
2016,7,23.11,35.04,47.0,4.74
2016,8,22.24,32.41,56.45,2.98
2016,9,23.49,31.08,48.04,3.09
2016,10,19.7,29.23,34.32,2.25
2016,11,16.52,23.74,20.99,1.57
2016,12,14.98,20.6,24.5,1.64
2017,1,14.17,15.69,34.27,2.12
2017,2,18.86,20.0,21.65,2.13
2017,3,22.67,25.65,21.17,2.06
2017,4,26.06,31.8,21.55,3.24
2017,5,25.93,34.99,32.03,3.33
2017,6,24.54,35.6,44.12,4.73
2017,7,21.36,32.43,61.24,3.67
2017,8,22.09,31.56,59.12,3.99
2017,9,21.76,31.52,47.13,2.58
2017,10,20.62,29.96,22.73,1.76
2017,11,15.71,22.16,25.78,1.71
2017,12,13.7,17.24,27.92,2.01
2018,1,15.8,17.78,22.97,1.71
2018,2,17.83,21.7,23.75,1.86
2018,3,23.12,27.44,20.73,2.03
2018,4,25.04,32.46,20.77,2.6
2018,5,26.29,35.79,20.37,2.74
2018,6,23.61,35.44,42.44,5.56
2018,7,21.22,33.45,52.73,4.78
2018,8,20.39,32.49,52.46,4.57
2018,9,22.01,31.36,42.77,3.3
2018,10,19.48,28.96,20.55,1.66
2018,11,15.84,23.56,21.9,1.63
2018,12,14.84,16.94,24.92,1.74
2019,1,14.39,15.54,35.43,1.93
2019,2,17.98,16.98,33.76,2.34
2019,3,21.06,23.91,32.33,2.45
2019,4,25.42,32.35,23.88,2.75
2019,5,26.25,33.94,30.09,2.98
2019,6,25.78,36.45,36.22,4.12
2019,7,21.73,35.27,47.82,5.34
2019,8,21.21,32.93,55.57,3.65
2019,9,20.83,32.61,56.64,2.48
2019,10,18.81,28.22,44.28,1.55
2019,11,13.26,21.38,52.75,1.99
2019,12,14.01,15.01,45.1,2.1
2020,1,14.12,13.88,47.59,2.09
2020,2,18.96,19.67,29.41,2.05
2020,3,21.25,23.34,39.53,2.26
2020,4,24.29,30.71,33.0,2.53
2020,5,26.79,34.81,32.48,3.66
2020,6,26.5,36.37,40.87,4.83
2020,7,23.29,35.14,50.1,4.52
2020,8,20.17,33.01,61.38,3.68
2020,9,20.92,30.6,61.42,2.58
2020,10,19.6,27.96,35.26,1.77
2020,11,15.96,21.15,33.69,2.01
2020,12,14.8,16.96,34.51,2.22
2021,1,15.33,15.32,30.7,2.13
2021,2,19.52,22.26,22.38,1.9
2021,3,22.54,28.08,23.49,2.37
2021,4,26.1,31.44,19.57,2.51
2021,5,24.89,34.22,35.1,3.83
2021,6,25.41,34.51,47.86,5.02
2021,7,20.61,33.37,57.86,4.61
2021,8,23.43,32.79,49.89,4.56
2021,9,19.65,32.17,57.86,2.63
2021,10,19.76,27.76,42.3,2.09
2021,11,15.62,22.83,28.02,1.81
2021,12,13.25,17.01,31.73,1.97
2022,1,14.73,15.49,47.14,1.95
2022,2,19.11,20.2,31.39,2.36
2022,3,22.92,28.14,25.13,2.56
2022,4,25.72,33.52,21.39,3.26
2022,5,25.3,35.8,27.41,4.75
2022,6,24.73,35.09,40.63,5.01
2022,7,18.04,31.27,70.3,3.53
2022,8,17.06,29.42,76.3,3.84
2022,9,22.0,29.57,69.02,2.98
2022,10,20.03,27.48,46.13,1.94
2022,11,15.98,23.32,39.5,1.87
2022,12,14.81,18.68,31.27,1.85
2023,1,15.39,14.57,29.88,2.19
2023,2,19.25,22.92,24.11,1.97
2023,3,20.64,26.03,33.75,2.43
2023,4,23.61,29.72,30.09,2.6
2023,5,25.17,32.52,40.5,3.51
2023,6,23.93,33.19,54.72,4.45
2023,7,21.48,32.59,64.12,3.99
2023,8,20.23,31.44,60.26,5.17
2023,9,21.45,33.05,45.45,3.02
2023,10,18.95,29.26,42.49,2.42
2023,11,13.53,22.95,40.36,1.71
2023,12,14.03,18.19,33.25,1.97
2024,1,14.53,16.36,35.16,1.9
2024,2,17.8,18.97,31.44,2.35
2024,3,21.81,24.61,26.99,2.39
2024,4,22.22,30.61,25.55,2.39
2024,5,26.53,36.58,21.89,3.43
2024,6,24.37,36.18,40.6,4.15
2024,7,20.59,35.52,51.86,3.9
2024,8,16.3,30.51,73.14,3.89
2024,9,20.71,31.27,62.33,2.63
2024,10,18.33,30.39,41.45,1.81
2024,11,15.96,25.23,34.19,1.72
2024,12,13.6,15.82,34.4,2.22
2025,1,15.41,16.77,29.56,1.9
2025,2,17.41,21.5,26.09,2.05
2025,3,23.03,26.6,19.93,2.51
2025,4,26.28,33.65,16.34,2.83
2025,5,24.63,35.45,33.32,4.04
2025,6,22.2,35.21,43.54,4.63
2025,7,19.32,32.88,58.94,4.15
2025,8,20.44,32.4,56.96,4.07
2025,9,20.33,31.04,56.99,3.58
