date and time,T,RH,WS,Rs,P
2001-01-01 00:00:00,10.73,81.24,2.53,0.0,99.29
2001-01-01 01:00:00,10.04,90.05,2.11,0.0,99.24
2001-01-01 02:00:00,9.49,96.22,1.87,0.0,99.23
2001-01-01 03:00:00,9.01,100.0,1.72,0.0,99.22
2001-01-01 04:00:00,8.64,100.0,1.67,0.0,99.24
2001-01-01 05:00:00,8.5,100.0,1.74,0.0,99.28
2001-01-01 06:00:00,8.17,100.0,1.59,0.0,99.35
2001-01-01 07:00:00,8.64,100.0,1.54,0.13,99.42
2001-01-01 08:00:00,10.95,87.37,2.55,0.78,99.48
2001-01-01 09:00:00,14.06,69.68,2.56,1.48,99.54
2001-01-01 10:00:00,17.39,50.24,3.16,2.08,99.57
2001-01-01 11:00:00,19.5,39.51,3.5,2.42,99.52
2001-01-01 12:00:00,20.8,33.78,3.75,2.42,99.44
2001-01-01 13:00:00,21.48,30.64,3.77,2.25,99.35
2001-01-01 14:00:00,21.65,28.89,3.6,1.85,99.29
2001-01-01 15:00:00,21.29,28.46,3.25,1.25,99.25
2001-01-01 16:00:00,20.07,30.0,2.15,0.56,99.24
2001-01-01 17:00:00,17.05,36.02,1.13,0.04,99.27
2001-01-01 18:00:00,16.67,36.75,1.0,0.0,99.34
2001-01-01 19:00:00,16.63,36.71,0.69,0.0,99.42
2001-01-01 20:00:00,16.37,37.25,0.39,0.0,99.46
2001-01-01 21:00:00,15.88,38.26,0.34,0.0,99.46
2001-01-01 22:00:00,15.39,39.39,0.42,0.0,99.46
2001-01-01 23:00:00,14.83,40.73,0.52,0.0,99.44
2001-01-02 00:00:00,14.31,42.02,0.63,0.0,99.42
2001-01-02 01:00:00,13.77,43.52,0.77,0.0,99.43
2001-01-02 02:00:00,13.18,45.23,0.84,0.0,99.43
2001-01-02 03:00:00,12.68,46.84,0.85,0.0,99.44
2001-01-02 04:00:00,12.27,48.36,0.84,0.0,99.46
2001-01-02 05:00:00,11.87,49.79,0.82,0.0,99.52
2001-01-02 06:00:00,11.34,51.6,0.88,0.0,99.58
2001-01-02 07:00:00,11.06,52.72,0.98,0.12,99.65
2001-01-02 08:00:00,13.39,45.37,1.63,0.73,99.73
2001-01-02 09:00:00,16.0,38.27,2.12,1.4,99.79
2001-01-02 10:00:00,19.95,27.66,1.53,1.95,99.81
2001-01-02 11:00:00,21.68,22.51,1.04,2.29,99.75
2001-01-02 12:00:00,22.81,19.45,0.67,2.48,99.66
2001-01-02 13:00:00,23.51,17.8,0.42,2.32,99.58
2001-01-02 14:00:00,23.69,17.17,0.25,1.9,99.53
2001-01-02 15:00:00,23.33,17.37,0.36,1.31,99.52
2001-01-02 16:00:00,22.06,18.71,0.44,0.57,99.53
2001-01-02 17:00:00,19.62,21.82,0.69,0.06,99.57
2001-01-02 18:00:00,18.18,23.96,0.94,0.0,99.64
2001-01-02 19:00:00,16.89,26.26,1.15,0.0,99.69
2001-01-02 20:00:00,15.47,29.3,1.33,0.0,99.72
2001-01-02 21:00:00,14.1,32.91,1.47,0.0,99.73
2001-01-02 22:00:00,12.95,36.75,1.53,0.0,99.73
