Year,Month,Radiation,Temperature,Humidity,WindSpeed
2001,1,16.63,16.06,23.58,1.89
2001,2,19.67,19.87,17.07,2.02
2001,3,23.21,25.73,16.55,1.99
2001,4,26.21,30.89,19.82,2.47
2001,5,26.6,34.59,35.75,4.36
2001,6,23.75,33.31,50.65,3.85
2001,7,18.35,29.88,70.31,3.29
2001,8,21.08,29.51,68.85,2.43
2001,9,22.68,30.49,47.83,1.72
2001,10,19.89,29.32,29.12,1.65
2001,11,17.39,22.59,17.53,1.83
2001,12,15.21,18.99,21.42,1.7
2002,1,15.42,15.78,25.84,1.85
2002,2,19.3,18.81,22.68,1.87
2002,3,23.27,26.17,17.56,2.0
2002,4,26.22,31.55,16.27,2.58
2002,5,26.46,35.62,27.76,4.57
2002,6,26.03,36.53,35.46,3.86
2002,7,22.98,34.19,44.48,5.04
2002,8,19.73,33.31,46.4,3.35
2002,9,22.05,31.75,37.35,2.28
2002,10,20.14,29.48,19.13,1.66
2002,11,15.89,23.58,22.31,1.59
2002,12,14.55,18.95,27.5,1.66
2003,1,15.45,16.51,31.92,2.04
2003,2,17.95,19.7,32.7,2.22
2003,3,22.24,25.1,18.85,2.13
2003,4,25.19,31.48,18.33,2.42
2003,5,25.93,34.1,21.11,3.74
2003,6,22.3,34.34,45.3,4.57
2003,7,19.48,30.77,69.94,3.32
2003,8,19.9,29.6,72.28,2.85
2003,9,21.14,29.83,61.69,2.49
2003,10,20.62,27.9,27.15,1.66
2003,11,16.79,22.04,20.86,1.84
2003,12,14.72,17.51,31.53,1.87
2004,1,15.49,16.95,33.22,2.04
2004,2,20.14,20.17,22.82,1.94
2004,3,24.76,27.68,11.93,1.83
2004,4,25.62,32.04,21.98,2.86
2004,5,25.26,34.24,28.55,3.86
2004,6,24.58,34.59,42.03,4.13
2004,7,23.28,33.48,48.74,3.97
2004,8,20.65,29.4,71.93,2.79
2004,9,21.71,30.32,58.28,2.19
2004,10,19.12,26.58,38.51,1.71
2004,11,16.82,23.63,25.8,1.56
2004,12,13.99,19.11,28.11,1.79
2005,1,14.94,15.4,35.18,2.06
2005,2,18.27,18.84,32.58,2.03
2005,3,22.95,25.66,26.96,2.12
2005,4,26.03,29.73,17.12,2.27
2005,5,26.47,33.37,27.83,3.08
2005,6,25.45,35.4,36.97,3.63
2005,7,22.47,31.37,62.83,3.71
2005,8,22.95,30.75,61.63,3.33
2005,9,20.24,30.97,58.21,2.19
2005,10,20.56,27.88,31.13,1.64
2005,11,17.05,23.25,23.41,1.58
2005,12,14.87,17.04,21.18,1.78
2006,1,16.12,17.12,24.39,1.96
2006,2,19.41,23.96,22.83,1.83
2006,3,22.43,25.01,26.23,2.12
2006,4,25.59,31.02,19.28,2.41
2006,5,26.45,35.72,27.24,3.97
2006,6,24.08,34.4,39.76,3.6
2006,7,19.23,32.6,57.45,4.0
2006,8,18.66,29.48,72.93,2.76
2006,9,20.5,28.97,69.99,2.3
2006,10,20.2,27.59,47.61,1.85
2006,11,16.32,23.27,30.77,1.46
2006,12,14.09,18.33,36.05,1.92
2007,1,15.81,16.88,25.0,1.87
2007,2,17.97,20.08,45.85,1.99
2007,3,23.14,24.03,34.76,2.08
2007,4,26.62,32.25,19.51,2.21
2007,5,26.76,34.89,25.0,3.3
2007,6,25.11,34.99,45.05,4.24
2007,7,21.37,31.63,63.48,3.72
2007,8,20.66,30.41,67.08,2.87
2007,9,20.66,30.93,56.55,2.1
2007,10,20.89,27.54,23.79,1.72
2007,11,16.9,23.95,21.67,1.54
2007,12,14.28,17.22,30.68,1.92
2008,1,14.7,15.42,25.92,2.23
2008,2,19.69,17.76,20.69,1.91
2008,3,22.47,27.08,17.91,1.93
2008,4,26.16,29.98,26.6,2.2
2008,5,26.06,32.53,39.91,4.22
2008,6,22.6,32.02,58.81,3.53
2008,7,21.38,30.76,65.25,3.54
2008,8,19.41,28.66,75.08,2.65
