,T,RH,WS,Rs,P
2001-01-01 00:00:00,11.2,42.25,1.41,0.0,98.71
2001-01-01 01:00:00,10.53,44.28,1.2,0.0,98.67
2001-01-01 02:00:00,10.17,45.35,1.07,0.0,98.64
2001-01-01 03:00:00,10.13,45.6,0.9,0.0,98.64
2001-01-01 04:00:00,10.05,45.85,0.61,0.0,98.67
2001-01-01 05:00:00,9.43,50.76,0.77,0.0,98.7
2001-01-01 06:00:00,9.08,54.06,0.65,0.0,98.77
2001-01-01 07:00:00,9.47,55.5,0.64,0.24,98.85
2001-01-01 08:00:00,11.3,51.75,1.06,0.93,98.91
2001-01-01 09:00:00,14.42,48.94,1.76,1.55,98.96
2001-01-01 10:00:00,18.49,41.18,3.06,2.05,98.97
2001-01-01 11:00:00,20.73,35.43,3.62,2.36,98.91
2001-01-01 12:00:00,21.9,32.34,4.05,2.39,98.83
2001-01-01 13:00:00,22.44,30.81,4.35,2.2,98.74
2001-01-01 14:00:00,22.37,30.86,4.46,1.76,98.69
2001-01-01 15:00:00,21.64,32.51,4.43,1.13,98.68
2001-01-01 16:00:00,20.11,36.39,3.7,0.43,98.69
2001-01-01 17:00:00,16.44,47.02,1.95,0.02,98.73
2001-01-01 18:00:00,15.13,52.37,1.97,0.0,98.81
2001-01-01 19:00:00,14.29,56.3,1.93,0.0,98.89
2001-01-01 20:00:00,13.45,59.69,1.79,0.0,98.94
2001-01-01 21:00:00,12.66,62.45,1.63,0.0,98.98
2001-01-01 22:00:00,11.92,65.11,1.48,0.0,98.98
2001-01-01 23:00:00,11.24,67.74,1.35,0.0,98.97
2001-01-02 00:00:00,10.64,70.38,1.23,0.0,98.97
2001-01-02 01:00:00,10.13,73.2,1.15,0.0,98.96
2001-01-02 02:00:00,9.67,76.55,1.11,0.0,98.97
2001-01-02 03:00:00,9.2,80.51,1.11,0.0,98.98
2001-01-02 04:00:00,8.75,84.99,1.11,0.0,99.02
2001-01-02 05:00:00,8.35,89.52,1.1,0.0,99.07
2001-01-02 06:00:00,7.99,93.42,1.09,0.0,99.13
2001-01-02 07:00:00,9.43,85.74,1.25,0.21,99.2
2001-01-02 08:00:00,12.37,70.67,1.92,0.85,99.27
2001-01-02 09:00:00,16.55,51.1,1.82,1.48,99.34
2001-01-02 10:00:00,19.56,39.09,2.21,1.99,99.34
2001-01-02 11:00:00,21.08,34.61,1.94,2.28,99.27
2001-01-02 12:00:00,22.17,31.34,1.68,2.42,99.18
2001-01-02 13:00:00,22.8,29.05,1.54,2.21,99.09
2001-01-02 14:00:00,22.93,27.85,1.65,1.77,99.04
2001-01-02 15:00:00,22.43,27.88,1.87,1.14,99.01
2001-01-02 16:00:00,20.7,30.48,1.32,0.44,99.02
2001-01-02 17:00:00,16.83,38.67,1.16,0.02,99.06
2001-01-02 18:00:00,15.38,42.09,1.26,0.0,99.12
2001-01-02 19:00:00,14.44,44.26,1.34,0.0,99.18
2001-01-02 20:00:00,13.64,46.03,1.4,0.0,99.21
2001-01-02 21:00:00,12.91,47.65,1.45,0.0,99.23
2001-01-02 22:00:00,12.17,49.35,1.47,0.0,99.24
2001-01-02 23:00:00,11.45,50.8,1.46,0.0,99.22
2001-01-03 00:00:00,10.76,52.68,1.47,0.0,99.19
2001-01-03 01:00:00,10.12,54.98,1.47,0.0,99.18
2001-01-03 02:00:00,9.55,58.04,1.48,0.0,99.16
2001-01-03 03:00:00,9.04,61.71,1.5,0.0,99.14
2001-01-03 04:00:00,8.59,66.18,1.49,0.0,99.15
