datetime,T,RH,WS,Rs,P,ETo_mm_hr,month,hour,season,year
2001-01-01 00:00:00,10.73,81.24,2.53,0.0,99.29,0.0219992044950991,1,0,Winter,2001
2001-01-01 01:00:00,10.04,90.05,2.11,0.0,99.24,0.0131859765952114,1,1,Winter,2001
2001-01-01 02:00:00,9.49,96.22,1.87,0.0,99.23,0.00809835186128,1,2,Winter,2001
2001-01-01 03:00:00,9.01,100.0,1.72,0.0,99.22,0.0053974038764313,1,3,Winter,2001
2001-01-01 04:00:00,8.64,100.0,1.67,0.0,99.24,0.0054070627502444,1,4,Winter,2001
2001-01-01 05:00:00,8.5,100.0,1.74,0.0,99.28,0.0052882998346652,1,5,Winter,2001
2001-01-01 06:00:00,8.17,100.0,1.59,0.0,99.35,0.0054396149019987,1,6,Winter,2001
2001-01-01 07:00:00,8.64,100.0,1.54,0.13,99.42,0.0173819228982454,1,7,Winter,2001
2001-01-01 08:00:00,10.95,87.37,2.55,0.78,99.48,0.0967946824432307,1,8,Winter,2001
2001-01-01 09:00:00,14.06,69.68,2.56,1.48,99.54,0.2204949378969218,1,9,Winter,2001
2001-01-01 10:00:00,17.39,50.24,3.16,2.08,99.57,0.3632744830463879,1,10,Winter,2001
2001-01-01 11:00:00,19.5,39.51,3.5,2.42,99.52,0.4592250466202985,1,11,Winter,2001
2001-01-01 12:00:00,20.8,33.78,3.75,2.42,99.44,0.4927253310834086,1,12,Winter,2001
2001-01-01 13:00:00,21.48,30.64,3.77,2.25,99.35,0.4818729544993834,1,13,Winter,2001
2001-01-01 14:00:00,21.65,28.89,3.6,1.85,99.29,0.4197148127683592,1,14,Winter,2001
2001-01-01 15:00:00,21.29,28.46,3.25,1.25,99.25,0.3093138531531629,1,15,Winter,2001
2001-01-01 16:00:00,20.07,30.0,2.15,0.56,99.24,0.1407198373398268,1,16,Winter,2001
2001-01-01 18:00:00,16.67,36.75,1.0,0.0,99.34,0.0515752249896134,1,18,Winter,2001
2001-01-01 19:00:00,16.63,36.71,0.69,0.0,99.42,0.0423306258125733,1,19,Winter,2001
2001-01-01 20:00:00,16.37,37.25,0.39,0.0,99.46,0.0313570935333033,1,20,Winter,2001
2001-01-01 21:00:00,15.88,38.26,0.34,0.0,99.46,0.0287352600764921,1,21,Winter,2001
2001-01-01 22:00:00,15.39,39.39,0.42,0.0,99.46,0.0308106745112626,1,22,Winter,2001
2001-01-01 23:00:00,14.83,40.73,0.52,0.0,99.44,0.0330136864293326,1,23,Winter,2001
2001-01-02 00:00:00,14.31,42.02,0.63,0.0,99.42,0.0350982255155911,1,0,Winter,2001
2001-01-02 01:00:00,13.77,43.52,0.77,0.0,99.43,0.0373150592508402,1,1,Winter,2001
2001-01-02 02:00:00,13.18,45.23,0.84,0.0,99.43,0.0372462630207143,1,2,Winter,2001
2001-01-02 03:00:00,12.68,46.84,0.85,0.0,99.44,0.0359444035420146,1,3,Winter,2001
2001-01-02 04:00:00,12.27,48.36,0.84,0.0,99.46,0.0344266507352168,1,4,Winter,2001
2001-01-02 05:00:00,11.87,49.79,0.82,0.0,99.52,0.0328305943361395,1,5,Winter,2001
2001-01-02 06:00:00,11.34,51.6,0.88,0.0,99.58,0.0323373532499245,1,6,Winter,2001
2001-01-02 07:00:00,11.06,52.72,0.98,0.12,99.65,0.0510525472756974,1,7,Winter,2001
2001-01-02 08:00:00,13.39,45.37,1.63,0.73,99.73,0.1421191536269077,1,8,Winter,2001
2001-01-02 09:00:00,16.0,38.27,2.12,1.4,99.79,0.2626592269582281,1,9,Winter,2001
2001-01-02 10:00:00,19.95,27.66,1.53,1.95,99.81,0.3661383944989366,1,10,Winter,2001
2001-01-02 11:00:00,21.68,22.51,1.04,2.29,99.75,0.417611844235943,1,11,Winter,2001
2001-01-02 12:00:00,22.81,19.45,0.67,2.48,99.66,0.4381862277676152,1,12,Winter,2001
2001-01-02 13:00:00,23.51,17.8,0.42,2.32,99.58,0.3979635984812132,1,13,Winter,2001
2001-01-02 14:00:00,23.69,17.17,0.25,1.9,99.53,0.3042542547394667,1,14,Winter,2001
2001-01-02 15:00:00,23.33,17.37,0.36,1.31,99.52,0.1916193958668661,1,15,Winter,2001
2001-01-02 16:00:00,22.06,18.71,0.44,0.57,99.53,0.0498124934991028,1,16,Winter,2001
2001-01-02 18:00:00,18.18,23.96,0.94,0.0,99.64,0.061769782615333,1,18,Winter,2001
2001-01-02 19:00:00,16.89,26.26,1.15,0.0,99.69,0.0643809040498747,1,19,Winter,2001
2001-01-02 20:00:00,15.47,29.3,1.33,0.0,99.72,0.0636710895412166,1,20,Winter,2001
2001-01-02 21:00:00,14.1,32.91,1.47,0.0,99.73,0.0606660717284485,1,21,Winter,2001
2001-01-02 22:00:00,12.95,36.75,1.53,0.0,99.73,0.0560548301747706,1,22,Winter,2001
2001-01-02 23:00:00,12.1,40.44,1.57,0.0,99.71,0.0519356799669449,1,23,Winter,2001
2001-01-03 00:00:00,11.45,44.2,1.62,0.0,99.68,0.0483822635889374,1,0,Winter,2001
2001-01-03 01:00:00,10.92,48.1,1.68,0.0,99.66,0.0450861833274966,1,1,Winter,2001
2001-01-03 02:00:00,10.47,51.94,1.7,0.0,99.64,0.0415546052779038,1,2,Winter,2001
2001-01-03 03:00:00,10.07,55.8,1.69,0.0,99.63,0.037902359491923,1,3,Winter,2001
2001-01-03 04:00:00,9.71,59.29,1.65,0.0,99.66,0.0344704306493264,1,4,Winter,2001
2001-01-03 05:00:00,9.38,62.42,1.62,0.0,99.72,0.0315660976448492,1,5,Winter,2001
2001-01-03 06:00:00,9.09,64.95,1.59,0.0,99.8,0.0292394090664916,1,6,Winter,2001
2001-01-03 07:00:00,9.71,63.27,1.52,0.13,99.88,0.0523404527201675,1,7,Winter,2001
2001-01-03 08:00:00,13.78,48.69,2.7,0.77,99.96,0.1674750788585919,1,8,Winter,2001
2001-01-03 09:00:00,16.51,40.87,2.49,1.46,100.02,0.278132779388535,1,9,Winter,2001
2001-01-03 10:00:00,20.71,26.9,1.54,2.04,100.01,0.3848496848010395,1,10,Winter,2001
2001-01-03 11:00:00,22.66,20.55,1.02,2.39,99.94,0.4386243870301243,1,11,Winter,2001
2001-01-03 12:00:00,23.6,18.08,0.71,2.49,99.83,0.4472031875821878,1,12,Winter,2001
2001-01-03 13:00:00,24.22,16.4,0.7,2.32,99.74,0.4167561168911255,1,13,Winter,2001
2001-01-03 14:00:00,24.38,15.55,1.02,1.97,99.67,0.3668366663550552,1,14,Winter,2001
2001-01-03 15:00:00,23.96,15.51,1.35,1.37,99.62,0.2689920347399946,1,15,Winter,2001
2001-01-03 16:00:00,22.4,16.81,1.01,0.64,99.61,0.103423906847143,1,16,Winter,2001
2001-01-03 17:00:00,19.35,20.35,1.14,0.06,99.62,0.0028573929396618,1,17,Winter,2001
2001-01-03 18:00:00,17.73,22.69,1.31,0.0,99.67,0.0742622141273508,1,18,Winter,2001
2001-01-03 19:00:00,16.47,24.85,1.41,0.0,99.72,0.0719923899051442,1,19,Winter,2001
2001-01-03 20:00:00,15.37,27.04,1.46,0.0,99.76,0.0685186714286226,1,20,Winter,2001
2001-01-03 21:00:00,14.36,29.25,1.51,0.0,99.78,0.0652027228328969,1,21,Winter,2001
2001-01-03 22:00:00,13.42,31.61,1.53,0.0,99.77,0.0613225827646824,1,22,Winter,2001
2001-01-03 23:00:00,12.58,34.04,1.54,0.0,99.75,0.0575516865845092,1,23,Winter,2001
2001-01-04 00:00:00,11.9,36.39,1.54,0.0,99.72,0.0541676669546371,1,0,Winter,2001
2001-01-04 01:00:00,11.3,38.58,1.52,0.0,99.71,0.0508958987300697,1,1,Winter,2001
2001-01-04 02:00:00,10.68,41.07,1.52,0.0,99.69,0.0477947232552637,1,2,Winter,2001
2001-01-04 03:00:00,9.96,43.87,1.55,0.0,99.68,0.044782132484305,1,3,Winter,2001
2001-01-04 04:00:00,9.39,46.53,1.6,0.0,99.69,0.042436415788742,1,4,Winter,2001
2001-01-04 05:00:00,8.97,48.59,1.62,0.0,99.73,0.0404626839418163,1,5,Winter,2001
2001-01-04 06:00:00,8.62,50.5,1.64,0.0,99.8,0.0387437644336719,1,6,Winter,2001
2001-01-04 07:00:00,9.29,48.84,1.67,0.12,99.87,0.068595525369924,1,7,Winter,2001
2001-01-04 08:00:00,13.5,37.29,3.13,0.77,99.94,0.1944286768249892,1,8,Winter,2001
2001-01-04 09:00:00,16.39,31.13,2.85,1.46,99.98,0.3010552638280327,1,9,Winter,2001
2001-01-04 10:00:00,20.33,22.57,1.75,2.03,99.98,0.3915177368561447,1,10,Winter,2001
2001-01-04 11:00:00,22.7,17.31,1.73,2.38,99.92,0.4702014809995724,1,11,Winter,2001
2001-01-04 12:00:00,23.91,15.11,1.89,2.55,99.83,0.5177991961110394,1,12,Winter,2001
2001-01-04 13:00:00,24.6,13.97,1.78,2.39,99.74,0.4899252828309639,1,13,Winter,2001
2001-01-04 14:00:00,24.72,13.5,2.16,1.98,99.66,0.4350295606465152,1,14,Winter,2001
2001-01-04 15:00:00,24.2,13.6,2.34,1.38,99.64,0.331914813144306,1,15,Winter,2001
2001-01-04 16:00:00,22.4,15.05,1.59,0.66,99.66,0.1462972001949615,1,16,Winter,2001
2001-01-04 17:00:00,18.08,19.74,1.42,0.06,99.69,0.0206042508285463,1,17,Winter,2001
2001-01-04 18:00:00,16.19,22.44,1.61,0.0,99.75,0.078626726778757,1,18,Winter,2001
2001-01-04 19:00:00,15.02,24.39,1.72,0.0,99.81,0.0758885779796627,1,19,Winter,2001
2001-01-04 20:00:00,14.03,26.41,1.79,0.0,99.86,0.0725235213822876,1,20,Winter,2001
2001-01-04 21:00:00,13.16,28.48,1.81,0.0,99.87,0.0685074514348303,1,21,Winter,2001
2001-01-04 22:00:00,12.39,30.51,1.86,0.0,99.86,0.0653908136835275,1,22,Winter,2001
2001-01-04 23:00:00,11.7,32.62,1.91,0.0,99.83,0.0624285207675366,1,23,Winter,2001
2001-01-05 00:00:00,11.09,34.67,1.93,0.0,99.78,0.0593423031705547,1,0,Winter,2001
2001-01-05 01:00:00,10.53,36.74,1.93,0.0,99.77,0.0562007951620221,1,1,Winter,2001
2001-01-05 02:00:00,10.02,38.92,1.94,0.0,99.75,0.0533116415787676,1,2,Winter,2001
2001-01-05 03:00:00,9.57,40.9,2.02,0.0,99.73,0.0515332947132798,1,3,Winter,2001
2001-01-05 04:00:00,9.18,42.67,2.12,0.0,99.71,0.0501856223433377,1,4,Winter,2001
2001-01-05 05:00:00,8.8,44.5,2.17,0.0,99.73,0.0483014325034683,1,5,Winter,2001
2001-01-05 06:00:00,8.42,46.4,2.19,0.0,99.78,0.0461273230131259,1,6,Winter,2001
2001-01-05 07:00:00,9.2,44.73,2.35,0.14,99.84,0.0891215043144135,1,7,Winter,2001
2001-01-05 08:00:00,12.98,35.14,4.14,0.83,99.9,0.221738101147397,1,8,Winter,2001
2001-01-05 09:00:00,15.98,29.13,3.69,1.55,99.93,0.3304920269393204,1,9,Winter,2001
2001-01-05 10:00:00,20.22,20.69,3.36,2.11,99.91,0.4585353595788358,1,10,Winter,2001
2001-01-05 11:00:00,22.39,16.32,3.0,2.45,99.83,0.5284245074392866,1,11,Winter,2001
2001-01-05 12:00:00,23.54,14.16,2.8,2.51,99.71,0.5472836133817118,1,12,Winter,2001
2001-01-05 13:00:00,24.25,12.66,2.68,2.36,99.58,0.5255264836943382,1,13,Winter,2001
2001-01-05 14:00:00,24.44,11.78,2.59,1.97,99.49,0.4546361977596039,1,14,Winter,2001
2001-01-05 15:00:00,24.02,11.54,2.13,1.38,99.46,0.3197633491633028,1,15,Winter,2001
2001-01-05 16:00:00,22.33,12.72,1.14,0.65,99.47,0.1135387795407492,1,16,Winter,2001
2001-01-05 18:00:00,18.33,15.7,1.2,0.0,99.55,0.0784137573718417,1,18,Winter,2001
2001-01-05 19:00:00,17.16,16.82,1.3,0.0,99.6,0.0777579727008796,1,19,Winter,2001
2001-01-05 20:00:00,16.02,18.09,1.39,0.0,99.63,0.0762599315024658,1,20,Winter,2001
2001-01-05 21:00:00,15.18,19.01,1.41,0.0,99.65,0.0736965005478763,1,21,Winter,2001
2001-01-05 22:00:00,14.52,19.83,1.39,0.0,99.65,0.0706794510076249,1,22,Winter,2001
2001-01-05 23:00:00,14.14,20.42,1.32,0.0,99.63,0.0673742810117477,1,23,Winter,2001
2001-01-06 00:00:00,13.53,21.24,1.32,0.0,99.58,0.0651784881574474,1,0,Winter,2001
2001-01-06 01:00:00,12.76,22.32,1.38,0.0,99.53,0.0638378136187297,1,1,Winter,2001
2001-01-06 02:00:00,12.1,23.42,1.41,0.0,99.49,0.0619981259445662,1,2,Winter,2001
2001-01-06 03:00:00,11.48,24.62,1.42,0.0,99.44,0.0597654738156764,1,3,Winter,2001
2001-01-06 04:00:00,11.25,25.12,1.34,0.0,99.46,0.0572147121194863,1,4,Winter,2001
2001-01-06 05:00:00,11.16,25.53,1.21,0.0,99.52,0.0539628830164193,1,5,Winter,2001
2001-01-06 06:00:00,10.47,26.86,1.29,0.0,99.56,0.0532449097366463,1,6,Winter,2001
2001-01-06 07:00:00,10.46,27.02,1.26,0.13,99.61,0.0787400946422577,1,7,Winter,2001
2001-01-06 08:00:00,13.64,22.03,1.69,0.8,99.67,0.1734573403788504,1,8,Winter,2001
2001-01-06 09:00:00,16.41,18.44,2.08,1.5,99.71,0.2981123615421874,1,9,Winter,2001
2001-01-06 10:00:00,20.17,14.22,0.78,2.06,99.72,0.3543672576413293,1,10,Winter,2001
2001-01-06 11:00:00,22.26,11.97,1.16,2.41,99.65,0.4451146623773963,1,11,Winter,2001
2001-01-06 12:00:00,23.04,11.12,1.62,2.58,99.56,0.5035375437168472,1,12,Winter,2001
2001-01-06 13:00:00,23.38,10.77,1.65,2.41,99.44,0.4769397971757693,1,13,Winter,2001
2001-01-06 14:00:00,23.37,10.71,1.71,2.0,99.37,0.4045652891071923,1,14,Winter,2001
2001-01-06 15:00:00,22.92,11.12,1.83,1.39,99.37,0.2970823312999043,1,15,Winter,2001
2001-01-06 16:00:00,21.31,12.58,1.12,0.66,99.37,0.1118086621233705,1,16,Winter,2001
2001-01-06 18:00:00,18.31,15.55,0.92,0.0,99.47,0.0676209683081588,1,18,Winter,2001
2001-01-06 19:00:00,17.7,16.33,0.79,0.0,99.52,0.0603848949846889,1,19,Winter,2001
