datetime,T,RH,WS,Rs,P,ETo_mm_hr,month,hour,season,year
2001-01-01 00:00:00,11.2,42.25,1.41,0.0,98.71,0.0462816739464266,1,0,Winter,2001
2001-01-01 01:00:00,10.53,44.28,1.2,0.0,98.67,0.0405509872918225,1,1,Winter,2001
2001-01-01 02:00:00,10.17,45.35,1.07,0.0,98.64,0.0373013479972725,1,2,Winter,2001
2001-01-01 03:00:00,10.13,45.6,0.9,0.0,98.64,0.0342501961101291,1,3,Winter,2001
2001-01-01 04:00:00,10.05,45.85,0.61,0.0,98.67,0.028455998311518,1,4,Winter,2001
2001-01-01 05:00:00,9.43,50.76,0.77,0.0,98.7,0.0287373240593019,1,5,Winter,2001
2001-01-01 06:00:00,9.08,54.06,0.65,0.0,98.77,0.0250513225727941,1,6,Winter,2001
2001-01-01 07:00:00,9.47,55.5,0.64,0.24,98.85,0.039975195639773,1,7,Winter,2001
2001-01-01 08:00:00,11.3,51.75,1.06,0.93,98.91,0.1337754417354769,1,8,Winter,2001
2001-01-01 09:00:00,14.42,48.94,1.76,1.55,98.96,0.2496328771594,1,9,Winter,2001
2001-01-01 10:00:00,18.49,41.18,3.06,2.05,98.97,0.3880173419670837,1,10,Winter,2001
2001-01-01 11:00:00,20.73,35.43,3.62,2.36,98.91,0.4798304900365317,1,11,Winter,2001
2001-01-01 12:00:00,21.9,32.34,4.05,2.39,98.83,0.5150234041185133,1,12,Winter,2001
2001-01-01 13:00:00,22.44,30.81,4.35,2.2,98.74,0.5029454751342227,1,13,Winter,2001
2001-01-01 14:00:00,22.37,30.86,4.46,1.76,98.69,0.4383693989679662,1,14,Winter,2001
2001-01-01 15:00:00,21.64,32.51,4.43,1.13,98.68,0.3336885319494131,1,15,Winter,2001
2001-01-01 16:00:00,20.11,36.39,3.7,0.43,98.69,0.1910925023414715,1,16,Winter,2001
2001-01-01 17:00:00,16.44,47.02,1.95,0.02,98.73,0.0175415327179306,1,17,Winter,2001
2001-01-01 18:00:00,15.13,52.37,1.97,0.0,98.81,0.052977660108455,1,18,Winter,2001
2001-01-01 19:00:00,14.29,56.3,1.93,0.0,98.89,0.0470839543512799,1,19,Winter,2001
2001-01-01 20:00:00,13.45,59.69,1.79,0.0,98.94,0.0411383994979575,1,20,Winter,2001
2001-01-01 21:00:00,12.66,62.45,1.63,0.0,98.98,0.0361319610558379,1,21,Winter,2001
2001-01-01 22:00:00,11.92,65.11,1.48,0.0,98.98,0.0317829417696424,1,22,Winter,2001
2001-01-01 23:00:00,11.24,67.74,1.35,0.0,98.97,0.0280633903566396,1,23,Winter,2001
2001-01-02 00:00:00,10.64,70.38,1.23,0.0,98.97,0.0248184882425171,1,0,Winter,2001
2001-01-02 01:00:00,10.13,73.2,1.15,0.0,98.96,0.022103806084918,1,1,Winter,2001
2001-01-02 02:00:00,9.67,76.55,1.11,0.0,98.97,0.0195856007480004,1,2,Winter,2001
2001-01-02 03:00:00,9.2,80.51,1.11,0.0,98.98,0.0170705045488399,1,3,Winter,2001
2001-01-02 04:00:00,8.75,84.99,1.11,0.0,99.02,0.0143791426904478,1,4,Winter,2001
2001-01-02 05:00:00,8.35,89.52,1.1,0.0,99.07,0.0117688834466001,1,5,Winter,2001
2001-01-02 06:00:00,7.99,93.42,1.09,0.0,99.13,0.0096081146634126,1,6,Winter,2001
2001-01-02 07:00:00,9.43,85.74,1.25,0.21,99.2,0.0319881051675964,1,7,Winter,2001
2001-01-02 08:00:00,12.37,70.67,1.92,0.85,99.27,0.1278404487069649,1,8,Winter,2001
2001-01-02 09:00:00,16.55,51.1,1.82,1.48,99.34,0.2556357343736015,1,9,Winter,2001
2001-01-02 10:00:00,19.56,39.09,2.21,1.99,99.34,0.377554776074851,1,10,Winter,2001
2001-01-02 11:00:00,21.08,34.61,1.94,2.28,99.27,0.4358862143575668,1,11,Winter,2001
2001-01-02 12:00:00,22.17,31.34,1.68,2.42,99.18,0.4610802705825121,1,12,Winter,2001
2001-01-02 13:00:00,22.8,29.05,1.54,2.21,99.09,0.4254810889812551,1,13,Winter,2001
2001-01-02 14:00:00,22.93,27.85,1.65,1.77,99.04,0.3530020131796554,1,14,Winter,2001
2001-01-02 15:00:00,22.43,27.88,1.87,1.14,99.01,0.2514767730664389,1,15,Winter,2001
2001-01-02 16:00:00,20.7,30.48,1.32,0.44,99.02,0.1004787661426451,1,16,Winter,2001
2001-01-02 18:00:00,15.38,42.09,1.26,0.0,99.12,0.0515025988679327,1,18,Winter,2001
2001-01-02 19:00:00,14.44,44.26,1.34,0.0,99.18,0.0496624393864756,1,19,Winter,2001
2001-01-02 20:00:00,13.64,46.03,1.4,0.0,99.21,0.0478716692419261,1,20,Winter,2001
2001-01-02 21:00:00,12.91,47.65,1.45,0.0,99.23,0.0460866732135582,1,21,Winter,2001
2001-01-02 22:00:00,12.17,49.35,1.47,0.0,99.24,0.043778647341076,1,22,Winter,2001
2001-01-02 23:00:00,11.45,50.8,1.46,0.0,99.22,0.0413580162724348,1,23,Winter,2001
2001-01-03 00:00:00,10.76,52.68,1.47,0.0,99.19,0.0390075810937213,1,0,Winter,2001
2001-01-03 01:00:00,10.12,54.98,1.47,0.0,99.18,0.0364152287597953,1,1,Winter,2001
2001-01-03 02:00:00,9.55,58.04,1.48,0.0,99.16,0.033610034125257,1,2,Winter,2001
2001-01-03 03:00:00,9.04,61.71,1.5,0.0,99.14,0.0306575480330953,1,3,Winter,2001
2001-01-03 04:00:00,8.59,66.18,1.49,0.0,99.15,0.0271396630857423,1,4,Winter,2001
2001-01-03 05:00:00,8.19,70.53,1.45,0.0,99.22,0.0237366033822914,1,5,Winter,2001
2001-01-03 06:00:00,7.86,73.98,1.39,0.0,99.3,0.0210328681990184,1,6,Winter,2001
2001-01-03 07:00:00,9.43,67.26,1.61,0.21,99.4,0.0513151988546564,1,7,Winter,2001
2001-01-03 08:00:00,12.71,54.13,2.54,0.88,99.48,0.160451933733167,1,8,Winter,2001
2001-01-03 09:00:00,16.66,42.05,2.0,1.53,99.53,0.2756223155832561,1,9,Winter,2001
2001-01-03 10:00:00,21.13,30.08,2.34,2.05,99.51,0.4153476558660918,1,10,Winter,2001
2001-01-03 11:00:00,22.86,25.79,2.24,2.35,99.42,0.4821994975780808,1,11,Winter,2001
2001-01-03 12:00:00,23.96,23.15,2.2,2.51,99.3,0.5180610026422061,1,12,Winter,2001
2001-01-03 13:00:00,24.6,21.38,2.16,2.3,99.2,0.4864173937629549,1,13,Winter,2001
2001-01-03 14:00:00,24.69,20.64,2.26,1.86,99.13,0.4119288767813939,1,14,Winter,2001
2001-01-03 15:00:00,24.08,21.03,2.48,1.22,99.1,0.3065479565761787,1,15,Winter,2001
2001-01-03 16:00:00,21.8,24.03,1.57,0.49,99.11,0.1211193206043657,1,16,Winter,2001
2001-01-03 17:00:00,17.11,32.49,1.32,0.02,99.12,0.0013315630452265,1,17,Winter,2001
2001-01-03 18:00:00,15.68,35.88,1.51,0.0,99.17,0.0624800926651665,1,18,Winter,2001
2001-01-03 19:00:00,14.85,38.34,1.72,0.0,99.23,0.0622856004131219,1,19,Winter,2001
2001-01-03 20:00:00,14.09,40.78,1.91,0.0,99.27,0.06117106999981,1,20,Winter,2001
2001-01-03 21:00:00,13.33,43.37,2.06,0.0,99.28,0.0588615597193681,1,21,Winter,2001
2001-01-03 22:00:00,12.54,46.33,2.13,0.0,99.28,0.0549884938979259,1,22,Winter,2001
2001-01-03 23:00:00,11.76,49.45,2.1,0.0,99.26,0.0500746222832361,1,23,Winter,2001
2001-01-04 00:00:00,11.0,52.6,2.01,0.0,99.24,0.0449380997377336,1,0,Winter,2001
2001-01-04 01:00:00,10.26,56.01,1.87,0.0,99.22,0.0395979565616887,1,1,Winter,2001
2001-01-04 02:00:00,9.56,59.49,1.71,0.0,99.21,0.0345616717439124,1,2,Winter,2001
2001-01-04 03:00:00,8.95,62.82,1.6,0.0,99.21,0.0305516362787211,1,3,Winter,2001
