City,Season,Dominant,Dom_SHAP,SHAP_T,SHAP_RH,SHAP_WS,SHAP_Rs,SHAP_P
Barmer,Summer,Rs,0.222,0.0483,0.027,0.0564,0.222,0.0054
Barmer,Monsoon,Rs,0.1873,0.0309,0.0325,0.0385,0.1873,0.0042
Barmer,Post-Monsoon,Rs,0.1715,0.0329,0.019,0.0425,0.1715,0.0031
Barmer,Winter,Rs,0.1687,0.0511,0.0211,0.0332,0.1687,0.0032
Bikaner,Summer,Rs,0.2176,0.0455,0.0232,0.0605,0.2176,0.0042
Bikaner,Monsoon,Rs,0.1935,0.0319,0.0262,0.0452,0.1935,0.0037
Bikaner,Post-Monsoon,Rs,0.1602,0.0328,0.0173,0.0387,0.1602,0.0024
Bikaner,Winter,Rs,0.1539,0.0523,0.0188,0.034,0.1539,0.0023
Jaisalmer,Summer,Rs,0.2223,0.0449,0.0264,0.0605,0.2223,0.005
Jaisalmer,Monsoon,Rs,0.2004,0.0327,0.03,0.0467,0.2004,0.0048
Jaisalmer,Post-Monsoon,Rs,0.1704,0.033,0.0204,0.0439,0.1704,0.0035
Jaisalmer,Winter,Rs,0.1643,0.0511,0.0211,0.0373,0.1643,0.004
Jodhpur,Summer,Rs,0.2177,0.0514,0.0257,0.0532,0.2177,0.0035
Jodhpur,Monsoon,Rs,0.1792,0.0292,0.0362,0.0315,0.1792,0.0023
Jodhpur,Post-Monsoon,Rs,0.1677,0.0339,0.0198,0.0336,0.1677,0.0028
Jodhpur,Winter,Rs,0.1645,0.0461,0.0215,0.0286,0.1645,0.0024
