,T,RH,WS,Rs,P,month,season
19,-0.058808334,-0.002037688,-0.024678586,-0.14495467,0.0012876162,1,Winter
50,-0.07055444,-0.019688668,-0.016882058,-0.1440572,0.0014277851,1,Winter
57,-0.074180506,0.021130914,0.0054793134,0.21455461,-0.0048702843,1,Winter
59,-0.060094,0.032548897,0.0033507762,0.30158287,-0.0105579905,1,Winter
72,-0.07024831,-0.0053185453,-0.013739029,-0.14465517,0.0006517897,1,Winter
88,-0.0515024,0.016995767,-0.040464558,-0.1678357,-0.007428993,1,Winter
101,-0.08177778,-0.010081159,-0.001845162,-0.14647847,0.0009167167,1,Winter
103,-0.114200965,0.0036037588,0.03068677,0.01263603,-0.007268316,1,Winter
119,-0.0684418,0.018736092,-0.027118744,-0.14337453,0.0005541576,1,Winter
123,-0.07348387,0.011044223,-0.025775947,-0.14385381,0.0006558339,1,Winter
127,-0.08306298,0.022713024,-0.018695394,0.0015532124,-0.0037133873,1,Winter
137,-0.05628396,0.0288082,-0.033036165,-0.14144835,-0.00041509196,1,Winter
169,-0.078738116,0.0056988997,-0.0075724595,-0.14595029,0.0004847904,1,Winter
181,-0.0505871,0.03835793,0.010243033,0.17136036,-0.0064741853,1,Winter
200,-0.10361818,0.011872156,-0.00059919356,0.09179841,-0.005475705,1,Winter
217,-0.07751792,0.012833517,-0.020866564,-0.14396466,0.00029870908,1,Winter
247,-0.107730255,0.037834704,0.019445265,0.0039403257,-0.0062402715,1,Winter
251,-0.05104965,0.027092123,-0.035470206,0.3031209,-0.013792614,1,Winter
273,-0.042346098,0.024026928,-0.05811181,0.2887826,-0.012188312,1,Winter
286,-0.07162544,0.020548789,-0.016895933,-0.14416322,0.0003000355,1,Winter
290,-0.077440485,0.022135677,-0.018616905,-0.14408703,9.3472765e-05,1,Winter
291,-0.07880692,0.020280903,-0.01822858,-0.1440061,0.00010711804,1,Winter
313,-0.07523832,0.01697564,-0.014400565,-0.14541607,-0.000119323806,1,Winter
322,-0.05183304,0.039558876,-0.012652316,0.31674582,-0.011246781,1,Winter
323,-0.038412686,0.039979987,-0.011205165,0.28567758,-0.010728991,1,Winter
326,-0.0393319,0.020582916,-0.07192725,-0.039647344,-0.005927169,1,Winter
327,-0.043973718,0.018568268,-0.059457734,-0.1640329,-0.0038762477,1,Winter
351,-0.048941642,0.019266337,-0.03968272,-0.16207649,-0.0070397565,1,Winter
361,-0.08426929,0.020335672,0.00043924132,-0.14722127,-0.00017072228,1,Winter
379,-0.07201033,0.030788796,-0.011158124,-0.14369681,-0.0007012763,1,Winter
387,-0.09206741,0.02250576,0.0023207746,-0.14811859,-0.00064260606,1,Winter
401,-0.06086903,0.031751636,-0.02598407,-0.1414324,0.0003218009,1,Winter
409,-0.0846559,0.02811073,-0.0069100815,-0.1452319,-0.0013372991,1,Winter
410,-0.08577328,0.026384717,-0.0068615996,-0.14502706,-0.0012055393,1,Winter
424,-0.05376633,0.029695345,-0.020883746,-0.14393891,-0.00026516296,1,Winter
450,-0.06249721,0.02812238,-0.022300603,-0.14259878,-0.00024945987,1,Winter
460,-0.07867914,0.016015256,-0.017656889,-0.14457971,6.8978516e-05,1,Winter
476,-0.054162383,0.028358242,-0.03595897,-0.14152917,0.00012938032,1,Winter
487,-0.08885884,-0.03961315,0.020594288,0.11778747,-0.0028294122,1,Winter
503,-0.06111868,-0.00947051,-0.015047474,-0.14610767,-7.7196964e-05,1,Winter
563,-0.053931117,0.047791652,0.027148735,0.3202293,-0.010370372,1,Winter
576,-0.07309953,0.022210587,-0.027014468,-0.14374244,-3.341251e-05,1,Winter
586,-0.042360198,0.029097538,-0.055343635,0.38436225,-0.008712373,1,Winter
608,-0.040741425,0.020267775,-0.08700491,0.24744616,-0.012554143,1,Winter
621,-0.06262891,0.02252051,-0.02647279,-0.1435576,0.00041823558,1,Winter
635,-0.010977622,0.024663312,-0.07160689,0.2584129,-0.012582289,1,Winter
651,-0.082680136,0.021675339,-0.0040199105,-0.14645377,-0.0008138512,1,Winter
657,-0.02734371,0.028711436,-0.052237995,0.34875566,-0.011125954,1,Winter
705,-0.06608318,0.062613584,0.0948518,0.28992978,-0.008408367,1,Winter
707,-0.05602257,0.06258732,0.09453539,0.12724414,-0.006264687,1,Winter
708,-0.05948811,0.06269358,0.08036429,0.0020869689,-0.0020155625,1,Winter
729,-0.07622631,0.04354338,0.011354149,0.38280576,-0.01164796,1,Winter
733,-0.04594081,0.01754647,-0.049322095,-0.12764333,-0.004363093,1,Winter
736,-0.071539894,0.03394111,-0.021902563,-0.14151417,-0.0005521477,1,Winter
743,-0.09047466,0.027476985,-0.013719372,-0.14530982,-0.001426717,2,Winter
759,-0.0723476,0.03648766,-0.0116555,-0.14319241,-0.0011125685,2,Winter
770,-0.08642028,0.02549109,-0.019532247,-0.14415044,-0.00083508895,2,Winter
786,-0.07309099,0.0325507,-0.020650407,-0.14220251,-0.00041702163,2,Winter
787,-0.07519346,0.03221877,-0.020599438,-0.14266324,-0.00031699476,2,Winter
797,-0.09148962,0.030370766,-0.026727756,0.15118667,-0.008674619,2,Winter
799,-0.05236872,0.010634399,-0.11496026,0.38838783,-0.014757015,2,Winter
825,-0.042513747,0.025647635,-0.056249004,0.3682123,-0.011637638,2,Winter
828,-0.025211994,0.01279968,-0.09741344,0.009344857,-0.003052662,2,Winter
839,-0.06854243,0.030743798,-0.030669628,-0.14200455,-0.0013228571,2,Winter
841,-0.07559579,0.027692016,-0.027500326,-0.1436801,-0.00095491303,2,Winter
842,-0.05973822,0.025109667,-0.036694374,-0.1077898,-0.0031813732,2,Winter
843,-0.09105363,0.040507074,0.0056364047,0.026012568,-0.006912294,2,Winter
863,-0.077453256,0.028519027,-0.015691858,-0.14496993,-0.001176744,2,Winter
867,-0.09091146,0.045679003,0.031085381,0.0362849,-0.0072725858,2,Winter
889,-0.07211497,0.026235135,-0.030511426,-0.14191467,-0.0005376973,2,Winter
890,-0.045444585,0.021102743,-0.062066138,-0.11467752,-0.0059952345,2,Winter
909,-0.07004558,0.02056708,-0.013019113,-0.14517264,4.8445112e-05,2,Winter
928,-0.055263232,0.0270994,-0.028446948,-0.14288136,1.7411629e-05,2,Winter
936,-0.063713424,0.01864642,-0.03425886,-0.1426085,0.0005312875,2,Winter
940,-0.06483663,0.023439972,-0.043592613,0.15781252,-0.008023795,2,Winter
961,-0.06804595,0.025828805,-0.026728816,-0.14352047,-0.00087341474,2,Winter
991,-0.024387188,0.027848551,-0.047950145,0.416634,-0.010447941,2,Winter
