,T,RH,WS,Rs,P,month,season
3,-0.06547264,-0.043481257,-0.017591674,-0.13989852,0.0016207186,1,Winter
19,-0.05665767,-0.027409017,-0.013414767,-0.14113578,0.0015164623,1,Winter
47,-0.058451895,-0.014433182,-0.027697364,-0.13800122,0.00024073437,1,Winter
50,-0.059387445,-0.01909792,-0.028644972,-0.13747233,4.7455847e-05,1,Winter
59,-0.056848627,0.006057235,-0.049353793,0.20323198,-0.004424117,1,Winter
72,-0.061409615,-0.012775035,-0.02766857,-0.13735531,6.970963e-05,1,Winter
88,-0.04770856,0.014551728,-0.050021622,-0.087709755,-0.00496779,1,Winter
101,-0.06810516,-0.015381487,-0.023301212,-0.13718812,0.00022436965,1,Winter
103,-0.05906172,-0.010857479,-0.035507843,-0.12123059,-0.00054120104,1,Winter
119,-0.06694452,0.0032197966,-0.022963105,-0.13752906,-0.00053996744,1,Winter
123,-0.07528307,-0.007370282,-0.013368553,-0.13865933,0.00021143735,1,Winter
127,-0.117945045,0.011671298,0.049348902,0.0016272687,-0.0044539976,1,Winter
137,-0.057381958,0.0214533,-0.032340497,-0.1371122,-0.0011836987,1,Winter
169,-0.06779414,-0.01185233,-0.02727375,-0.13728444,0.0009230759,1,Winter
181,-0.06163681,0.029333215,0.013552992,0.017762786,-0.0049256133,1,Winter
200,-0.08060871,0.012538246,-0.03739157,0.13981746,-0.0066097616,1,Winter
217,-0.06741002,-0.00056838786,-0.028017024,-0.13688193,-0.0003267553,1,Winter
247,-0.084413074,0.03180406,0.0010898967,0.1805647,-0.007007195,1,Winter
251,-0.043075956,0.017570226,-0.07527858,0.15621215,-0.0073662805,1,Winter
273,-0.047344677,0.033509746,-0.012868822,0.22908495,-0.0048460104,1,Winter
286,-0.0734196,0.016864838,-0.023339793,-0.13665429,-0.0013532868,1,Winter
290,-0.07227495,0.0139426645,-0.027098618,-0.13651021,-0.0013329417,1,Winter
291,-0.05657995,0.012681402,-0.046083093,-0.1258884,-0.0041435114,1,Winter
313,-0.06129321,0.0038369168,-0.036179047,-0.1364079,-0.0011226975,1,Winter
322,-0.039054997,0.025630215,-0.040359125,0.16414809,-0.0044622165,1,Winter
323,-0.03816752,0.021652903,-0.05301467,0.05342248,-0.0040750075,1,Winter
326,-0.053580455,0.021268005,-0.03498424,-0.13804926,-0.0011644792,1,Winter
327,-0.05588053,0.018693222,-0.03254011,-0.13774216,-0.00139835,1,Winter
351,-0.0663627,0.019301513,-0.017349526,-0.13815539,-0.0016401446,1,Winter
361,-0.070746325,0.0048551797,-0.023386365,-0.13708827,-0.0005614004,1,Winter
379,-0.07733984,0.014776633,-0.014849871,-0.13769469,-0.0016462808,1,Winter
387,-0.11047633,0.035515852,0.052525822,0.10814953,-0.0049561504,1,Winter
409,-0.110033646,0.030456385,0.03376055,0.0063571897,-0.0057892147,1,Winter
410,-0.095879905,0.030790936,0.005035832,0.10735843,-0.005452216,1,Winter
424,-0.08284798,0.021602044,-0.007573419,-0.13938135,-0.003294278,1,Winter
431,-0.07810323,0.009590874,-0.018260341,-0.13756572,-0.0013596452,1,Winter
450,-0.07524584,0.014758247,-0.018259175,-0.13717741,-0.0017470461,1,Winter
460,-0.047727946,0.02138881,-0.06563475,0.25546327,-0.0068113487,1,Winter
476,-0.06780101,0.019914674,-0.02744068,-0.13830936,-0.00026904198,1,Winter
485,-0.053495124,0.027298015,0.05622105,0.24688202,-0.004626713,1,Winter
487,-0.04162273,0.025423298,0.05557508,0.07319716,-0.0042883465,1,Winter
563,-0.058261964,0.025281474,-0.034576774,-0.13614973,-0.001756647,1,Winter
576,-0.09502156,0.030885732,0.014049323,0.016987996,-0.0068463003,1,Winter
586,-0.052274533,0.03012933,-0.028568123,-0.1358023,-0.0022419246,1,Winter
608,-0.03751565,0.025089124,-0.055857826,-0.035114158,-0.0015527657,1,Winter
621,-0.063080356,0.0063140704,-0.03182549,-0.13772659,0.00042741443,1,Winter
635,-0.05140031,0.027990371,-0.0338541,-0.13656834,-0.0017137498,1,Winter
651,-0.044296622,0.025715014,-0.0546986,0.32890907,-0.0062573003,1,Winter
657,-0.03249365,0.02486889,-0.075970426,-0.13740344,-0.0018469436,1,Winter
705,-0.067787275,0.037301686,0.0072819665,-0.1410384,-0.0062444014,1,Winter
707,-0.07663267,0.0372855,0.009674948,-0.14020525,-0.0036915164,1,Winter
708,-0.082795806,0.036870215,0.015269174,-0.14058535,-0.0036517312,1,Winter
729,-0.06537949,0.029380541,-0.0242805,-0.13455106,-0.0023982995,1,Winter
733,-0.08360693,0.026724279,-0.012709341,-0.13653,-0.0019857204,1,Winter
738,-0.083795235,0.011057743,-0.016772121,-0.13910225,-0.0005270677,2,Winter
754,-0.07131186,0.02888972,-0.01896013,-0.13593358,-0.0026433254,2,Winter
765,-0.07254781,0.018810395,-0.036789227,-0.13496949,-0.0013048305,2,Winter
781,-0.044893354,0.021796033,-0.077935986,-0.13296326,-0.0023265183,2,Winter
782,-0.0465179,0.021614965,-0.0777928,-0.13328856,-0.002038994,2,Winter
792,-0.09875798,0.037597448,0.023074744,0.1504334,-0.007703529,2,Winter
794,-0.074241556,0.039552763,0.0050464207,0.35131955,-0.0070856833,2,Winter
820,-0.05668979,0.036202285,-0.0048982967,0.31564155,-0.005104737,2,Winter
823,-0.040035576,0.012880453,-0.08267877,-0.04211333,-0.0035133474,2,Winter
834,-0.08263584,0.025391525,-0.015272812,-0.13742833,-0.0013064649,2,Winter
836,-0.08838964,0.022654902,-0.014638305,-0.1374447,-0.0010093269,2,Winter
837,-0.07656722,0.027336754,-0.02103237,-0.09528147,-0.003098704,2,Winter
838,-0.10312957,0.0403526,0.035305694,0.031203581,-0.008026168,2,Winter
858,-0.08520692,0.017890258,-0.013394944,-0.1379517,-0.001163159,2,Winter
862,-0.10642637,0.040343452,0.04280415,0.03120396,-0.0075123734,2,Winter
884,-0.08348735,0.019925414,-0.018786747,-0.13682392,-0.0015817528,2,Winter
885,-0.07329991,0.025299191,-0.021132413,-0.09677541,-0.0041375663,2,Winter
904,-0.07058617,0.013618769,-0.020688064,-0.13708593,-0.0015127227,2,Winter
912,-0.054574706,0.032903686,-0.016550303,0.26259667,-0.0070005995,2,Winter
923,-0.053241458,0.022250902,-0.032603152,-0.13829625,-0.000838155,2,Winter
931,-0.06056165,0.014519142,-0.033126757,-0.13794126,0.00012136837,2,Winter
935,-0.079473265,0.037373986,0.027906748,0.1685108,-0.006053274,2,Winter
956,-0.07659227,0.018756067,-0.017784663,-0.13879992,-0.00040651413,2,Winter
986,-0.03301031,0.024843205,-0.043372735,0.40906647,-0.0036934323,2,Winter
989,-0.019737566,0.03717977,0.016078237,0.1331713,-0.0029291238,2,Winter
994,-0.055561233,0.03107773,-0.0224888,-0.13611913,-0.0016047893,2,Winter
1015,-0.041626338,0.018955942,-0.033386774,-0.14835665,-0.004225693,2,Winter
1019,-0.061726425,0.03629962,0.0060510966,-0.14056338,-0.0037555962,2,Winter
1025,-0.07719547,0.028938226,-0.0039420836,-0.14026824,-0.0035672376,2,Winter
1026,-0.0774232,0.029149275,-0.0023987305,-0.14015345,-0.0044665057,2,Winter
1039,-0.024739362,0.019757336,-0.052066885,-0.16224794,0.0011937853,2,Winter
1057,-0.10114045,0.048746776,0.11505012,0.34791782,-0.008866211,2,Winter
1062,-0.05472358,0.04693196,0.07479524,0.0031301018,-0.0066938004,2,Winter
1074,-0.07446199,-0.012090311,0.002780076,-0.14132379,0.0002121315,2,Winter
1081,-0.090846196,0.035706908,0.05016264,0.35278538,-0.0072714896,2,Winter
1086,-0.037211332,0.032646693,-0.016136698,-0.018079706,-0.002108705,2,Winter
1092,-0.059540026,0.01089116,-0.019337254,-0.13891378,-0.0011981123,2,Winter
1096,-0.064972535,0.008178403,-0.02219055,-0.13845949,0.0002562589,2,Winter
1116,-0.045932088,0.015926547,-0.03903753,-0.13842921,-0.00038771445,2,Winter
1122,-0.044970553,0.0048883683,-0.0645295,-0.14009345,0.0011186744,2,Winter
1133,-0.020171244,0.018011337,-0.09790039,-0.017635971,-0.0033887,2,Winter
1144,-0.058279768,0.004405241,-0.026080908,-0.13886786,0.000615257,2,Winter
1146,-0.05895872,0.004260071,-0.027097924,-0.13822314,-0.00025709605,2,Winter
1159,-0.04054428,0.018421125,-0.035180632,-0.14023699,-0.0011712217,2,Winter
1160,-0.044352617,0.016160714,-0.03414351,-0.1397661,-0.0010028003,2,Winter
1161,-0.046206217,0.014524585,-0.03216379,-0.1395256,-0.0012654556,2,Winter
1174,-0.025475033,0.011920392,-0.11950361,0.24298014,-0.004593535,2,Winter
1185,-0.027631748,0.023212219,-0.084518604,-0.13987663,-0.0005667948,2,Winter
1201,-0.014477971,0.050308436,0.18332438,0.38359773,-0.003566397,2,Winter
1211,-0.050496586,0.0053191925,-0.022124384,-0.14258248,0.0014236548,2,Winter
1220,-0.059684344,0.008837282,-0.026611561,0.04356353,-0.003641603,2,Winter
1240,-0.059263967,0.0024616749,-0.012442,-0.14195557,0.0015655819,2,Winter
1253,-0.025848705,0.028616987,-0.009137312,-0.14214467,-0.0029185868,2,Winter
1268,-0.05928695,-0.01310967,0.07193099,0.004496918,-0.001956318,2,Winter
1298,-0.015666196,0.00942059,-0.034950174,0.11129809,0.0015691628,2,Winter
1301,-0.027146537,0.0002858383,-0.050960824,-0.15084557,0.0026015728,2,Winter
1336,-0.08183091,0.01745347,-0.0077759395,-0.13984524,-0.0020953724,2,Winter
1356,-0.05523767,0.028914597,-0.03279442,-0.13531627,-0.0010473458,2,Winter
1359,-0.061585676,0.028286489,-0.029511906,-0.13588235,-0.0013095805,2,Winter
1370,-0.021863505,0.034792785,-0.011162971,0.27795687,-0.0027479737,2,Winter
1375,-0.044784743,0.031777725,-0.032603614,-0.13532118,-0.0028828434,2,Winter
1388,-0.07654418,0.04576064,0.052977208,0.0793221,-0.0061891456,2,Winter
1392,-0.023580562,0.025425838,-0.046863414,0.45221922,-0.0035329363,2,Winter
1407,-0.052067984,0.025695158,-0.0520038,-0.13417335,-0.0015827202,3,Winter
1423,-0.039286353,0.03203805,-0.027850574,-0.13817713,0.0016724714,3,Winter
1461,-0.039272647,0.02443354,-0.04236699,0.20589122,-0.0016253165,3,Winter
1463,-0.03402459,0.016190795,-0.09158394,0.42157194,-0.0055216453,3,Winter
1476,-0.052807245,0.027174467,-0.03431909,-0.13614325,-0.0017437093,3,Winter
1492,-0.032586932,0.011589268,-0.054139126,-0.12325704,-0.002779751,3,Winter
1505,-0.052314814,0.0160991,-0.04947277,-0.15841688,-0.0057862718,3,Winter
1507,-0.06559357,0.034144614,0.004040638,0.080479704,-0.0058922074,3,Winter
1523,-0.055748362,0.028672058,-0.021757906,-0.13803382,-0.0021255866,3,Winter
1527,-0.059609335,0.027952235,-0.021138107,-0.13826616,-0.00088881043,3,Winter
1531,-0.06986775,0.052600075,0.08544612,0.075581744,-0.003849395,3,Winter
1573,-0.033761915,0.024597423,-0.06625189,-0.1385102,-0.00026874713,3,Winter
1604,-0.017458878,0.020226507,-0.08579434,0.21388859,-0.004715,3,Winter
1621,-0.04875482,0.02603454,-0.021257421,-0.14013481,-0.001238649,3,Winter
1651,-0.030843461,0.04086712,0.026232846,0.10283306,-0.0036196255,3,Winter
1655,0.025884166,0.029028935,-0.0086449105,0.49767995,0.0051581822,3,Winter
1677,-0.00858545,0.05174734,0.035890542,0.39360777,-0.004596319,3,Winter
1690,-0.037239194,0.033168618,-0.018024959,-0.1403903,-0.0022132383,3,Winter
1694,-0.047588494,0.021357944,-0.015604063,-0.14249712,-0.0005635948,3,Winter
1695,-0.047193237,0.01837313,-0.0189659,-0.14226446,0.0004287733,3,Winter
1717,-0.04104103,0.013601668,-0.03678817,-0.14206424,0.0012647287,3,Winter
1726,0.007550143,0.028146842,-0.04727219,0.46513194,-0.004538599,3,Winter
1727,0.014803985,0.031816192,-0.023567988,0.4670639,-0.0036149877,3,Winter
1730,0.025544731,0.03918547,0.035869237,0.1914031,8.831482e-05,3,Winter
1731,0.015802545,0.037580434,0.029581297,0.038680684,-0.0037082287,3,Winter
1750,0.0035087864,0.033642594,-0.009920089,0.45633706,-0.002723419,3,Winter
1755,0.01635661,0.036055006,0.016288215,0.059596125,-0.0035967284,3,Winter
1765,-0.056461107,0.032212548,0.0062758815,-0.14207947,-0.0037941225,3,Winter
1783,-0.024394251,0.03189668,-0.051275477,-0.13954246,0.0005504223,3,Winter
1791,-0.035731576,0.027119858,-0.060056996,-0.13754088,0.00014265065,3,Winter
1805,-0.0138273565,0.03211653,-0.041291147,-0.14439693,-0.0009817586,3,Winter
1813,-0.03994366,0.021625904,-0.02361838,-0.14250746,-0.0003057046,3,Winter
1828,0.004462115,0.020414628,-0.066906534,-0.10217995,-0.006910773,3,Winter
1854,-0.01927347,0.019798724,-0.035374172,-0.14778315,0.0003365893,3,Winter
1864,-0.050241135,-0.022015886,-0.008979948,-0.14464217,0.0008521939,3,Winter
1880,-0.032764893,0.01217892,-0.0054128966,-0.14982596,-0.00015533097,3,Winter
1891,-0.05168094,0.027818583,-0.0070397286,0.08573895,-0.0017174241,3,Winter
1907,-0.03386375,0.014912912,-0.042538367,-0.1432729,0.0009503621,3,Winter
1957,-0.043941233,0.03272556,-0.006986371,-0.1414069,-0.0025649515,3,Winter
1967,-0.0045082388,0.04449187,0.030775307,0.44550818,-0.003248361,3,Winter
