,T,RH,WS,Rs,P,month,season
19,-0.05428129,-0.013278171,-0.008801991,-0.14658259,0.00016642157,1,Winter
57,-0.0632153,0.017699078,-0.00429413,0.20408925,-0.0023389584,1,Winter
59,-0.04854333,0.03139004,-0.007903268,0.2834271,-0.006042925,1,Winter
72,-0.06168197,-0.010894991,-0.010914939,-0.14567606,0.0004399989,1,Winter
88,-0.047321316,0.0134731615,-0.03125601,-0.17895803,-0.002373477,1,Winter
101,-0.06943642,-0.011210287,-0.008023385,-0.1458958,0.0006657969,1,Winter
103,-0.09944752,0.0015813872,0.00880895,0.010927358,-0.0010950163,1,Winter
119,-0.06633533,0.012881846,-0.01590945,-0.14378628,-0.00056091504,1,Winter
123,-0.069492325,0.0050198296,-0.017120887,-0.14402437,0.0002827433,1,Winter
127,-0.08437822,0.021492954,-0.0010222513,0.006020245,-0.0036080661,1,Winter
169,-0.068997,0.004839556,-0.008771621,-0.14566027,-3.282017e-05,1,Winter
200,-0.08755118,0.018476361,-0.011750093,0.1081165,-0.0037683265,1,Winter
217,-0.071950674,0.0110393455,-0.011654989,-0.14466342,-0.0005246756,1,Winter
247,-0.100174494,0.037020527,0.02361608,0.0041873776,-0.006303316,1,Winter
251,-0.024876155,0.0130379805,-0.113255344,0.29191053,-0.010517017,1,Winter
273,-0.04592247,0.033860926,-0.018983388,0.21521257,-0.005674033,1,Winter
286,-0.06733747,0.029235264,-0.012736861,-0.14319012,-0.0012846069,1,Winter
290,-0.0723198,0.024306571,-0.016670013,-0.14355065,-0.0014692213,1,Winter
291,-0.07284741,0.022051463,-0.01796647,-0.14355858,-0.00084943534,1,Winter
313,-0.07075777,0.015182047,-0.008203049,-0.14488587,-0.0005852259,1,Winter
322,-0.04377506,0.04000512,-0.011407843,0.2883272,-0.007627118,1,Winter
323,-0.038993925,0.04164993,-0.011642668,0.32953086,-0.00742405,1,Winter
326,-0.024843594,0.036308307,-0.010592538,0.08444693,-0.0059552365,1,Winter
327,-0.0398819,0.019418523,-0.073439,-0.06487708,-0.0030453263,1,Winter
351,-0.03805743,0.024266498,-0.046236258,-0.06221246,-0.0042219716,1,Winter
361,-0.075528786,0.021005584,0.0029761055,-0.145934,-0.001458369,1,Winter
379,-0.06652128,0.035982616,0.0017291508,-0.1444918,-0.002178337,1,Winter
387,-0.083821744,0.026857655,0.0051244297,-0.14672843,-0.0026053977,1,Winter
401,-0.05143881,0.029769337,-0.013148311,-0.14377838,-0.0013657741,1,Winter
409,-0.06598168,0.022315605,-0.01185028,-0.14416529,-0.0011818671,1,Winter
424,-0.04292737,0.018148001,-0.042352885,-0.17105392,-0.0031266147,1,Winter
450,-0.05127618,0.027386589,-0.023607938,-0.14197041,-0.0009517432,1,Winter
460,-0.0636975,0.008394854,-0.022437902,-0.14332213,-2.8218892e-06,1,Winter
476,-0.05881108,0.029967038,-0.021984136,-0.1419191,-0.00059172406,1,Winter
487,-0.073687375,0.03601828,-0.0052332333,0.0119897425,-0.0042341407,1,Winter
503,-0.04993251,-0.00427281,-0.028998138,-0.14523152,0.00016466124,1,Winter
553,-0.07358652,0.016200498,-0.01648085,-0.1439001,-0.00082116615,1,Winter
563,-0.062423777,0.050321728,0.03877798,0.3495384,-0.0065096626,1,Winter
576,-0.070845775,0.023408692,-0.02247357,-0.1426485,-0.00075590075,1,Winter
586,-0.03959906,0.026014324,-0.06552363,0.3419722,-0.0064503727,1,Winter
608,-0.056462273,0.02740306,-0.04104146,0.15533637,-0.008541111,1,Winter
621,-0.061441347,0.026127066,-0.018813942,-0.14281519,-0.00071635254,1,Winter
635,-0.013225294,0.02576096,-0.04946367,0.3798396,0.004576124,1,Winter
651,-0.070678,0.02300836,-0.010843128,-0.14499494,-0.0010534683,1,Winter
657,-0.034741484,0.048409756,0.037189096,0.26060763,-0.0033542318,1,Winter
705,-0.046683364,0.02078496,-0.060730703,0.215723,-0.008984123,1,Winter
707,-0.023311878,0.04451827,0.04984484,0.30769676,-0.0055851704,1,Winter
708,-0.019234344,0.044684872,0.06526519,0.27648097,-0.0010126974,1,Winter
729,-0.05670296,0.019056886,-0.061792374,0.28687152,-0.012317065,1,Winter
733,-0.029023936,0.03912759,0.0046434854,0.26273027,-0.0048422543,1,Winter
736,-0.042692006,0.011617059,-0.034455728,-0.15580896,-0.0017350946,1,Winter
746,-0.08178213,0.028112946,-0.009527428,-0.14617562,-0.0019148402,2,Winter
762,-0.070359714,0.039324865,0.0026702213,-0.1440248,-0.0026127964,2,Winter
773,-0.07990864,0.023409469,-0.012485386,-0.1448874,-0.0020563211,2,Winter
789,-0.07337387,0.03469378,-0.0076896967,-0.14384267,-0.0018733431,2,Winter
790,-0.07435859,0.032989815,-0.009260594,-0.14414786,-0.0017155984,2,Winter
800,-0.07690002,0.03740913,-0.005098955,0.16696775,-0.008442754,2,Winter
802,-0.04976704,0.017096968,-0.08583518,0.39359686,-0.011216589,2,Winter
828,-0.027903264,0.009502689,-0.111808114,0.37355134,-0.01101105,2,Winter
831,-0.03078384,0.008720503,-0.08203915,-0.016477803,-0.004310383,2,Winter
842,-0.07163297,0.030928953,-0.019646611,-0.14324044,-0.0015858079,2,Winter
844,-0.073707804,0.028757308,-0.018954266,-0.14453799,-0.0017831606,2,Winter
845,-0.07834769,0.02655675,-0.017046928,-0.14496909,-0.0011028748,2,Winter
846,-0.06949362,0.032917727,-0.009822558,-0.091074504,-0.0025070675,2,Winter
866,-0.06944935,0.026981143,-0.021407895,-0.14373608,-0.00108686,2,Winter
870,-0.068576746,0.031552315,-0.0077212607,-0.09161878,-0.004461273,2,Winter
892,-0.05761408,0.027974205,-0.036865465,-0.1407023,-0.00083085784,2,Winter
893,-0.05755515,0.02681608,-0.042239804,-0.1400368,-0.0014146809,2,Winter
912,-0.06644593,0.027737044,-0.013113988,-0.1435393,-0.0018364061,2,Winter
931,-0.055099368,0.030063085,-0.018838651,-0.142584,-0.00089902285,2,Winter
939,-0.063377604,0.016044542,-0.022931421,-0.14355974,-5.600439e-06,2,Winter
943,-0.06932603,0.035361625,0.002836147,0.053097036,-0.010379936,2,Winter
964,-0.048713896,0.013639819,-0.047325764,-0.14390166,-0.0004508671,2,Winter
994,-0.018120496,0.016737996,-0.07542059,0.4029842,-0.003088058,2,Winter
997,0.0054775556,0.03127868,0.003699537,0.27334332,0.002968358,2,Winter
1002,-0.045042098,0.03702143,-0.024122616,-0.13872425,-0.0007207149,2,Winter
1023,-0.008471522,0.013702556,-0.06798094,-0.021044195,-0.0019290968,2,Winter
1027,-0.041642662,0.03917577,-0.017561125,-0.14173634,-0.0009905243,2,Winter
1033,-0.05388037,0.03400977,-0.01913342,-0.1432836,-0.0007861112,2,Winter
1034,-0.054794714,0.033706486,-0.020375298,-0.14265555,-0.0006857119,2,Winter
1047,0.022835076,0.049565542,0.06101849,-0.03384242,0.0073520294,2,Winter
1065,-0.049489822,0.053146467,0.07504194,0.29342717,-0.006449139,2,Winter
1070,-0.02689877,0.06447143,0.105463475,0.15627621,-0.0068780314,2,Winter
1089,-0.05288293,0.03873202,0.045429077,0.28561464,-0.0046309247,2,Winter
1094,-0.026487196,0.04863976,0.06338214,0.12817718,-0.003491161,2,Winter
1100,-0.052595258,0.014027973,-0.019819582,-0.14378494,-3.836718e-05,2,Winter
1104,-0.05720305,0.010809527,-0.022846183,-0.14325884,0.0006281108,2,Winter
1124,-0.049516145,0.026975162,-0.028294401,-0.14175048,-0.00036958486,2,Winter
1130,-0.05516084,0.024455426,-0.030847108,-0.14175461,-0.000701665,2,Winter
1141,0.002765737,0.014363484,-0.07704713,0.13169375,0.002862638,2,Winter
1152,-0.05369883,0.021443097,-0.018084712,-0.14443824,-0.00048616738,2,Winter
1154,-0.057560157,0.016240243,-0.018033205,-0.14409426,-2.1991904e-05,2,Winter
1167,-0.034782052,0.017893758,-0.049356185,-0.15195458,-0.006123946,2,Winter
1168,-0.0380958,0.030347425,-0.022037271,-0.14368255,-0.0013648706,2,Winter
1169,-0.042442292,0.030087847,-0.014829374,-0.14519149,-0.0006098419,2,Winter
1174,-0.056350812,0.02111227,0.0028966847,-0.14644447,-0.0008044431,2,Winter
1182,-0.061072227,0.027107548,0.013138464,0.050189458,-0.007852951,2,Winter
1190,-0.001572657,0.030510904,-0.011559929,-0.0061484464,0.005568732,2,Winter
1193,-0.037855428,0.032719098,-0.026305938,-0.14227061,-0.001095463,2,Winter
1209,0.0010682618,0.05839709,0.11758136,0.39450955,0.004578722,2,Winter
1219,-0.040120322,0.014468943,0.0036107039,-0.14864603,-7.071178e-05,2,Winter
1228,-0.035545476,0.0039632316,-0.026862932,-0.14792854,0.004571538,2,Winter
1248,-0.055394232,0.01980829,-0.017347252,-0.14501013,0.0002591987,2,Winter
1261,0.034724507,0.038535543,0.04483513,0.1572791,0.0068453653,2,Winter
1276,-0.037905466,0.0033438392,-0.019660043,-0.16025385,0.004353358,2,Winter
1309,0.020137684,0.036378767,0.08765351,0.066723555,0.007865172,2,Winter
1344,-0.062390517,0.024419945,-0.0022484146,-0.1457966,-0.0003918162,2,Winter
1351,-0.043861374,0.040990096,0.012569293,0.22744659,-0.0035860834,2,Winter
