datetime,T,RH,WS,Rs,P,ETo_mm_hr,month,hour,season,year
2001-01-01 00:00:00,12.02,43.44,2.48,0.0,98.82,0.0599374979667687,1,0,Winter,2001
2001-01-01 01:00:00,11.26,51.22,2.49,0.0,98.79,0.0506475049003291,1,1,Winter,2001
2001-01-01 02:00:00,10.55,61.74,2.43,0.0,98.75,0.0391081878335489,1,2,Winter,2001
2001-01-01 03:00:00,9.95,72.77,2.33,0.0,98.75,0.0280586960863123,1,3,Winter,2001
2001-01-01 04:00:00,9.46,82.93,2.23,0.0,98.76,0.0187811081119478,1,4,Winter,2001
2001-01-01 05:00:00,9.32,95.03,2.36,0.0,98.8,0.0088409025266058,1,5,Winter,2001
2001-01-01 06:00:00,9.02,99.25,2.34,0.0,98.88,0.0052960268601948,1,6,Winter,2001
2001-01-01 07:00:00,9.66,95.93,2.92,0.21,98.97,0.0253933457436081,1,7,Winter,2001
2001-01-01 08:00:00,11.73,83.73,3.5,0.94,99.03,0.1198752668901142,1,8,Winter,2001
2001-01-01 09:00:00,14.99,64.95,3.22,1.63,99.08,0.2550557410053765,1,9,Winter,2001
2001-01-01 10:00:00,18.77,40.82,3.69,2.17,99.11,0.4167877354291051,1,10,Winter,2001
2001-01-01 11:00:00,20.99,30.46,4.11,2.5,99.06,0.5223660074840647,1,11,Winter,2001
2001-01-01 12:00:00,22.15,26.27,4.43,2.48,98.97,0.5543054274784799,1,12,Winter,2001
2001-01-01 13:00:00,22.69,24.26,4.56,2.3,98.89,0.5424960294502259,1,13,Winter,2001
2001-01-01 14:00:00,22.69,23.78,4.5,1.88,98.83,0.4767117048283419,1,14,Winter,2001
2001-01-01 15:00:00,22.11,24.63,4.27,1.26,98.81,0.3652902685804351,1,15,Winter,2001
2001-01-01 16:00:00,20.83,27.02,3.41,0.55,98.8,0.2055054008935089,1,16,Winter,2001
2001-01-01 17:00:00,17.02,35.28,1.57,0.04,98.84,0.015291829565552,1,17,Winter,2001
2001-01-01 18:00:00,15.49,39.82,1.58,0.0,98.92,0.0598531759092566,1,18,Winter,2001
2001-01-01 19:00:00,14.63,42.79,1.6,0.0,99.0,0.0557241613852163,1,19,Winter,2001
2001-01-01 20:00:00,13.88,45.44,1.58,0.0,99.05,0.0516075083904608,1,20,Winter,2001
2001-01-01 21:00:00,13.24,47.38,1.53,0.0,99.06,0.0480448631807405,1,21,Winter,2001
2001-01-01 22:00:00,12.71,48.83,1.45,0.0,99.05,0.0448164969768552,1,22,Winter,2001
2001-01-01 23:00:00,12.33,49.72,1.35,0.0,99.03,0.0421026673439165,1,23,Winter,2001
2001-01-02 00:00:00,12.16,49.83,1.26,0.0,99.02,0.0404530124563089,1,0,Winter,2001
2001-01-02 01:00:00,12.08,49.65,1.17,0.0,99.03,0.0390955962651594,1,1,Winter,2001
2001-01-02 02:00:00,11.9,50.02,1.1,0.0,99.03,0.0375095472958387,1,2,Winter,2001
2001-01-02 03:00:00,11.55,51.08,1.08,0.0,99.04,0.0360684127633583,1,3,Winter,2001
2001-01-02 04:00:00,11.09,52.43,1.1,0.0,99.06,0.0349339779403333,1,4,Winter,2001
2001-01-02 05:00:00,10.59,54.11,1.13,0.0,99.11,0.0336809866880824,1,5,Winter,2001
2001-01-02 06:00:00,10.09,55.98,1.14,0.0,99.18,0.0320603336015142,1,6,Winter,2001
2001-01-02 07:00:00,10.38,54.95,1.03,0.16,99.26,0.0513963786605675,1,7,Winter,2001
2001-01-02 08:00:00,13.08,46.11,1.66,0.8,99.33,0.1484745951249139,1,8,Winter,2001
2001-01-02 09:00:00,15.75,38.73,1.51,1.46,99.4,0.2535701720866956,1,9,Winter,2001
2001-01-02 10:00:00,19.7,27.01,1.11,2.01,99.41,0.3596753978369537,1,10,Winter,2001
2001-01-02 11:00:00,21.43,21.9,1.29,2.35,99.35,0.4369117816439688,1,11,Winter,2001
2001-01-02 12:00:00,22.47,19.36,1.32,2.47,99.26,0.4643872919028713,1,12,Winter,2001
2001-01-02 13:00:00,23.09,18.24,1.34,2.3,99.16,0.4378058145457745,1,13,Winter,2001
2001-01-02 14:00:00,23.28,17.85,1.43,1.89,99.11,0.3670973992345668,1,14,Winter,2001
2001-01-02 15:00:00,22.95,18.21,1.66,1.28,99.09,0.2648405528633076,1,15,Winter,2001
2001-01-02 16:00:00,21.72,19.63,1.36,0.58,99.1,0.1134473275415015,1,16,Winter,2001
2001-01-02 18:00:00,17.0,27.01,1.29,0.0,99.2,0.0679856468013462,1,18,Winter,2001
2001-01-02 19:00:00,15.73,29.93,1.39,0.0,99.25,0.0651250578657314,1,19,Winter,2001
2001-01-02 20:00:00,14.66,33.03,1.44,0.0,99.29,0.0611668666771123,1,20,Winter,2001
2001-01-02 21:00:00,13.71,36.55,1.47,0.0,99.31,0.0567566736597048,1,21,Winter,2001
2001-01-02 22:00:00,12.86,40.56,1.5,0.0,99.31,0.052283447589221,1,22,Winter,2001
2001-01-02 23:00:00,12.13,45.01,1.55,0.0,99.28,0.0481102583741221,1,23,Winter,2001
2001-01-03 00:00:00,11.53,49.5,1.62,0.0,99.25,0.0444191438158047,1,0,Winter,2001
2001-01-03 01:00:00,11.05,53.5,1.71,0.0,99.23,0.0414587505218208,1,1,Winter,2001
2001-01-03 02:00:00,10.65,56.91,1.8,0.0,99.2,0.0389633346318814,1,2,Winter,2001
2001-01-03 03:00:00,10.27,59.63,1.83,0.0,99.19,0.0364783750484833,1,3,Winter,2001
2001-01-03 04:00:00,9.89,61.84,1.8,0.0,99.22,0.0339930733959953,1,4,Winter,2001
2001-01-03 05:00:00,9.51,63.61,1.76,0.0,99.28,0.0318642629780149,1,5,Winter,2001
2001-01-03 06:00:00,9.15,64.82,1.73,0.0,99.37,0.0303116854725171,1,6,Winter,2001
2001-01-03 07:00:00,10.09,60.64,1.86,0.18,99.45,0.0636615922332729,1,7,Winter,2001
2001-01-03 08:00:00,13.48,48.41,3.35,0.88,99.53,0.1885059108152654,1,8,Winter,2001
2001-01-03 09:00:00,16.35,40.26,2.83,1.57,99.58,0.298368357080169,1,9,Winter,2001
2001-01-03 10:00:00,20.62,28.64,3.02,2.12,99.57,0.44179065044429,1,10,Winter,2001
2001-01-03 11:00:00,22.65,23.48,3.05,2.46,99.5,0.525482731062647,1,11,Winter,2001
2001-01-03 12:00:00,23.76,21.29,2.83,2.58,99.38,0.5536553940905056,1,12,Winter,2001
2001-01-03 13:00:00,24.41,20.04,2.55,2.41,99.29,0.5221096755587894,1,13,Winter,2001
2001-01-03 14:00:00,24.58,19.41,2.43,1.99,99.22,0.4438400330217645,1,14,Winter,2001
2001-01-03 15:00:00,24.16,19.42,2.51,1.37,99.17,0.3330090936124506,1,15,Winter,2001
2001-01-03 16:00:00,22.71,20.73,1.89,0.63,99.16,0.1573480160606093,1,16,Winter,2001
2001-01-03 17:00:00,18.57,26.84,1.31,0.05,99.18,0.0092155641687066,1,17,Winter,2001
2001-01-03 18:00:00,16.82,29.82,1.48,0.0,99.23,0.0700260852842317,1,18,Winter,2001
2001-01-03 19:00:00,15.69,31.88,1.62,0.0,99.28,0.0684603775149592,1,19,Winter,2001
2001-01-03 20:00:00,14.73,33.83,1.77,0.0,99.31,0.0670814766510941,1,20,Winter,2001
2001-01-03 21:00:00,13.88,35.86,1.9,0.0,99.33,0.0651305442717498,1,21,Winter,2001
2001-01-03 22:00:00,13.09,38.07,1.98,0.0,99.33,0.0621838187983484,1,22,Winter,2001
2001-01-03 23:00:00,12.36,40.37,2.04,0.0,99.31,0.058994131418901,1,23,Winter,2001
2001-01-04 00:00:00,11.67,42.81,2.05,0.0,99.29,0.0552308709469017,1,0,Winter,2001
