datetime,T,RH,WS,Rs,P,ETo_mm_hr,month,hour,season,year
2001-01-01 00:00:00,10.1,47.49,1.27,0.0,98.41,0.0388604460245992,1,0,Winter,2001
2001-01-01 01:00:00,9.13,56.37,1.3,0.0,98.36,0.0323165077229575,1,1,Winter,2001
2001-01-01 02:00:00,8.29,69.43,1.37,0.0,98.35,0.0240315499484134,1,2,Winter,2001
2001-01-01 03:00:00,7.69,83.54,1.49,0.0,98.35,0.0155206552989619,1,3,Winter,2001
2001-01-01 04:00:00,7.31,95.58,1.59,0.0,98.37,0.0080561611630903,1,4,Winter,2001
2001-01-01 05:00:00,7.73,100.0,1.47,0.0,98.4,0.00558000602852,1,5,Winter,2001
2001-01-01 06:00:00,7.99,100.0,1.61,0.0,98.49,0.0054141516203566,1,6,Winter,2001
2001-01-01 07:00:00,8.87,98.0,2.41,0.14,98.57,0.0179937967219696,1,7,Winter,2001
2001-01-01 08:00:00,10.81,87.92,3.38,0.53,98.63,0.075270987581084,1,8,Winter,2001
2001-01-01 09:00:00,13.54,76.13,3.59,0.77,98.69,0.1386974152940853,1,9,Winter,2001
2001-01-01 10:00:00,16.1,63.87,3.81,0.94,98.71,0.2040831622227432,1,10,Winter,2001
2001-01-01 11:00:00,18.17,52.61,3.89,1.04,98.67,0.260973311501353,1,11,Winter,2001
2001-01-01 12:00:00,19.21,46.01,3.89,1.18,98.6,0.3023732669573995,1,12,Winter,2001
2001-01-01 13:00:00,19.59,43.53,4.05,0.92,98.54,0.2826656922769565,1,13,Winter,2001
2001-01-01 14:00:00,19.48,43.4,4.21,0.77,98.51,0.2628722989998563,1,14,Winter,2001
2001-01-01 15:00:00,18.93,44.69,4.22,0.53,98.51,0.2200984635538321,1,15,Winter,2001
2001-01-01 16:00:00,17.89,47.79,3.6,0.23,98.52,0.1451821136667884,1,16,Winter,2001
2001-01-01 17:00:00,15.87,54.95,1.93,0.0,98.55,0.0513333630909062,1,17,Winter,2001
2001-01-01 18:00:00,15.32,57.69,1.96,0.0,98.62,0.047893615556996,1,18,Winter,2001
2001-01-01 19:00:00,14.56,61.38,1.83,0.0,98.68,0.0417360609407488,1,19,Winter,2001
2001-01-01 20:00:00,13.7,65.93,1.65,0.0,98.73,0.0348214815436916,1,20,Winter,2001
2001-01-01 21:00:00,12.43,72.86,1.43,0.0,98.74,0.0262305099605441,1,21,Winter,2001
2001-01-01 22:00:00,11.62,78.01,1.28,0.0,98.75,0.0210383453236698,1,22,Winter,2001
2001-01-01 23:00:00,10.93,82.75,1.17,0.0,98.75,0.0170638126437844,1,23,Winter,2001
2001-01-02 00:00:00,10.34,86.94,1.1,0.0,98.75,0.014065007489604,1,0,Winter,2001
2001-01-02 01:00:00,9.82,90.82,1.05,0.0,98.77,0.0116030116262655,1,1,Winter,2001
2001-01-02 02:00:00,9.34,94.23,1.03,0.0,98.8,0.009618010347406,1,2,Winter,2001
2001-01-02 03:00:00,8.94,96.69,1.04,0.0,98.82,0.0082252484638756,1,3,Winter,2001
2001-01-02 04:00:00,8.66,97.87,1.03,0.0,98.85,0.0075667003162387,1,4,Winter,2001
2001-01-02 05:00:00,8.46,97.97,1.04,0.0,98.9,0.0074578444581227,1,5,Winter,2001
2001-01-02 06:00:00,8.26,97.78,1.06,0.0,98.95,0.0074826160090585,1,6,Winter,2001
2001-01-02 07:00:00,9.07,91.09,0.97,0.13,99.0,0.0230154912576422,1,7,Winter,2001
2001-01-02 08:00:00,11.88,74.41,2.06,0.57,99.05,0.0968272215054026,1,8,Winter,2001
2001-01-02 09:00:00,15.04,58.29,1.88,0.93,99.11,0.1758627229456222,1,9,Winter,2001
2001-01-02 10:00:00,18.45,42.4,1.91,1.22,99.13,0.2589110490094955,1,10,Winter,2001
2001-01-02 11:00:00,19.93,36.68,1.42,1.76,99.11,0.3366882465269321,1,11,Winter,2001
2001-01-02 12:00:00,20.91,32.84,1.01,2.2,99.03,0.3939582390475828,1,12,Winter,2001
2001-01-02 13:00:00,21.45,30.32,0.65,1.99,98.96,0.3467078390508416,1,13,Winter,2001
2001-01-02 14:00:00,21.53,29.06,0.5,1.57,98.92,0.2631557475471948,1,14,Winter,2001
2001-01-02 15:00:00,21.15,29.04,0.9,0.98,98.9,0.1770260953693953,1,15,Winter,2001
2001-01-02 16:00:00,19.74,31.41,0.83,0.37,98.91,0.0638066525636746,1,16,Winter,2001
2001-01-02 17:00:00,17.23,36.94,1.06,0.0,98.94,0.0539472026385189,1,17,Winter,2001
2001-01-02 18:00:00,15.8,40.48,1.23,0.0,99.0,0.0528693331944401,1,18,Winter,2001
2001-01-02 19:00:00,14.67,43.65,1.31,0.0,99.06,0.0499862384129878,1,19,Winter,2001
2001-01-02 20:00:00,13.81,46.26,1.33,0.0,99.08,0.0468257695464837,1,20,Winter,2001
2001-01-02 21:00:00,13.18,48.42,1.33,0.0,99.09,0.0441476450222849,1,21,Winter,2001
2001-01-02 22:00:00,12.69,50.1,1.32,0.0,99.09,0.0419794799449877,1,22,Winter,2001
2001-01-02 23:00:00,12.24,51.59,1.28,0.0,99.07,0.0396565710134614,1,23,Winter,2001
2001-01-03 00:00:00,11.88,53.05,1.25,0.0,99.04,0.0377155750043761,1,0,Winter,2001
2001-01-03 01:00:00,11.56,54.53,1.2,0.0,99.03,0.0356267953658422,1,1,Winter,2001
2001-01-03 02:00:00,11.05,56.75,1.2,0.0,99.01,0.0335350395078227,1,2,Winter,2001
2001-01-03 03:00:00,10.39,59.8,1.23,0.0,99.01,0.0311345969698871,1,3,Winter,2001
2001-01-03 04:00:00,9.85,62.79,1.24,0.0,99.02,0.0287563027400908,1,4,Winter,2001
2001-01-03 05:00:00,9.46,65.57,1.24,0.0,99.08,0.0266510851815874,1,5,Winter,2001
2001-01-03 06:00:00,9.14,68.14,1.23,0.0,99.16,0.0247262051579465,1,6,Winter,2001
