City,Feature,Perturbation_%,Baseline_ETo,New_ETo,Change_%
barmer,T,-20.0,0.2852,0.2516,-11.762800216674805
barmer,T,-10.0,0.2852,0.2673,-6.259799957275391
barmer,T,-5.0,0.2852,0.2761,-3.184299945831299
barmer,T,0.0,0.2851864,0.2851864,0.0
barmer,T,5.0,0.2852,0.2943,3.2046000957489014
barmer,T,10.0,0.2852,0.3034,6.386499881744385
barmer,T,20.0,0.2852,0.3203,12.318400382995605
barmer,RH,-20.0,0.2852,0.2992,4.92110013961792
barmer,RH,-10.0,0.2852,0.2923,2.4941000938415527
barmer,RH,-5.0,0.2852,0.2887,1.2488000392913818
barmer,RH,0.0,0.2851864,0.2851864,0.0
barmer,RH,5.0,0.2852,0.2817,-1.2264000177383423
barmer,RH,10.0,0.2852,0.2783,-2.4179000854492188
barmer,RH,20.0,0.2852,0.2719,-4.641499996185303
barmer,WS,-20.0,0.2852,0.2662,-6.674099922180176
barmer,WS,-10.0,0.2852,0.2757,-3.3090999126434326
barmer,WS,-5.0,0.2852,0.2804,-1.6714999675750732
barmer,WS,0.0,0.2851864,0.2851864,0.0
barmer,WS,5.0,0.2852,0.2895,1.5277999639511108
barmer,WS,10.0,0.2852,0.294,3.095400094985962
barmer,WS,20.0,0.2852,0.3026,6.113399982452393
barmer,Rs,-20.0,0.2852,0.2533,-11.16469955444336
barmer,Rs,-10.0,0.2852,0.2691,-5.633500099182129
barmer,Rs,-5.0,0.2852,0.2769,-2.899199962615967
barmer,Rs,0.0,0.2851864,0.2851864,0.0
barmer,Rs,5.0,0.2852,0.2925,2.5653998851776123
barmer,Rs,10.0,0.2852,0.3,5.201000213623047
barmer,Rs,20.0,0.2852,0.3138,10.03439998626709
barmer,P,-20.0,0.2852,0.2922,2.46589994430542
barmer,P,-10.0,0.2852,0.2922,2.46589994430542
barmer,P,-5.0,0.2852,0.2922,2.46589994430542
barmer,P,0.0,0.2851864,0.2851864,0.0
barmer,P,5.0,0.2852,0.2883,1.0779000520706177
barmer,P,10.0,0.2852,0.2883,1.0779000520706177
barmer,P,20.0,0.2852,0.2883,1.0779000520706177
bikaner,T,-20.0,0.2783,0.2461,-11.577500343322754
bikaner,T,-10.0,0.2783,0.2612,-6.133699893951416
bikaner,T,-5.0,0.2783,0.2696,-3.133500099182129
bikaner,T,0.0,0.278295,0.278295,0.0
bikaner,T,5.0,0.2783,0.287,3.142400026321411
bikaner,T,10.0,0.2783,0.2957,6.250100135803223
bikaner,T,20.0,0.2783,0.3118,12.056900024414062
bikaner,RH,-20.0,0.2783,0.2885,3.665800094604492
bikaner,RH,-10.0,0.2783,0.2834,1.847000002861023
bikaner,RH,-5.0,0.2783,0.2809,0.9236999750137329
bikaner,RH,0.0,0.278295,0.278295,0.0
bikaner,RH,5.0,0.2783,0.2757,-0.9172000288963318
bikaner,RH,10.0,0.2783,0.2732,-1.8255000114440918
bikaner,RH,20.0,0.2783,0.2683,-3.596299886703491
bikaner,WS,-20.0,0.2783,0.2591,-6.883699893951416
bikaner,WS,-10.0,0.2783,0.2688,-3.4189000129699707
bikaner,WS,-5.0,0.2783,0.2735,-1.732699990272522
bikaner,WS,0.0,0.278295,0.278295,0.0
bikaner,WS,5.0,0.2783,0.2827,1.57669997215271
bikaner,WS,10.0,0.2783,0.2872,3.1928000450134277
bikaner,WS,20.0,0.2783,0.2959,6.3302998542785645
bikaner,Rs,-20.0,0.2783,0.247,-11.22920036315918
bikaner,Rs,-10.0,0.2783,0.2624,-5.697400093078613
bikaner,Rs,-5.0,0.2783,0.2701,-2.949700117111206
bikaner,Rs,0.0,0.278295,0.278295,0.0
bikaner,Rs,5.0,0.2783,0.2855,2.589600086212158
bikaner,Rs,10.0,0.2783,0.2929,5.235000133514404
bikaner,Rs,20.0,0.2783,0.3063,10.052300453186035
bikaner,P,-20.0,0.2783,0.2852,2.4911000728607178
bikaner,P,-10.0,0.2783,0.2852,2.4911000728607178
bikaner,P,-5.0,0.2783,0.2852,2.4911000728607178
bikaner,P,0.0,0.278295,0.278295,0.0
bikaner,P,5.0,0.2783,0.2838,1.9605000019073486
bikaner,P,10.0,0.2783,0.2838,1.9605000019073486
bikaner,P,20.0,0.2783,0.2838,1.9605000019073486
jaisalmer,T,-20.0,0.2914,0.2581,-11.440199851989746
jaisalmer,T,-10.0,0.2914,0.2736,-6.106100082397461
jaisalmer,T,-5.0,0.2914,0.2823,-3.106300115585327
jaisalmer,T,0.0,0.29139647,0.29139647,0.0
jaisalmer,T,5.0,0.2914,0.3005,3.115999937057495
jaisalmer,T,10.0,0.2914,0.3096,6.232600212097168
jaisalmer,T,20.0,0.2914,0.3266,12.097299575805664
jaisalmer,RH,-20.0,0.2914,0.3044,4.464600086212158
jaisalmer,RH,-10.0,0.2914,0.298,2.261199951171875
jaisalmer,RH,-5.0,0.2914,0.2947,1.1330000162124634
jaisalmer,RH,0.0,0.29139647,0.29139647,0.0
jaisalmer,RH,5.0,0.2914,0.2881,-1.1155999898910522
jaisalmer,RH,10.0,0.2914,0.285,-2.2088000774383545
jaisalmer,RH,20.0,0.2914,0.279,-4.270100116729736
jaisalmer,WS,-20.0,0.2914,0.2715,-6.831099987030029
jaisalmer,WS,-10.0,0.2914,0.2815,-3.4000000953674316
jaisalmer,WS,-5.0,0.2914,0.2864,-1.7194000482559204
jaisalmer,WS,0.0,0.29139647,0.29139647,0.0
jaisalmer,WS,5.0,0.2914,0.296,1.572700023651123
jaisalmer,WS,10.0,0.2914,0.3007,3.176800012588501
jaisalmer,WS,20.0,0.2914,0.3097,6.269100189208984
jaisalmer,Rs,-20.0,0.2914,0.2588,-11.193300247192383
jaisalmer,Rs,-10.0,0.2914,0.275,-5.638400077819824
jaisalmer,Rs,-5.0,0.2914,0.283,-2.898400068283081
jaisalmer,Rs,0.0,0.29139647,0.29139647,0.0
jaisalmer,Rs,5.0,0.2914,0.2989,2.5745999813079834
jaisalmer,Rs,10.0,0.2914,0.3066,5.206600189208984
jaisalmer,Rs,20.0,0.2914,0.3206,10.015600204467773
jaisalmer,P,-20.0,0.2914,0.3025,3.8236000537872314
jaisalmer,P,-10.0,0.2914,0.3025,3.8236000537872314
jaisalmer,P,-5.0,0.2914,0.3025,3.8236000537872314
jaisalmer,P,0.0,0.29139647,0.29139647,0.0
jaisalmer,P,5.0,0.2914,0.293,0.5479000210762024
jaisalmer,P,10.0,0.2914,0.293,0.5479000210762024
jaisalmer,P,20.0,0.2914,0.293,0.5479000210762024
jodhpur,T,-20.0,0.2689,0.2367,-11.952199935913086
jodhpur,T,-10.0,0.2689,0.2518,-6.355400085449219
jodhpur,T,-5.0,0.2689,0.2602,-3.231600046157837
jodhpur,T,0.0,0.26887217,0.26887217,0.0
jodhpur,T,5.0,0.2689,0.2775,3.2018001079559326
jodhpur,T,10.0,0.2689,0.2862,6.432199954986572
jodhpur,T,20.0,0.2689,0.3027,12.57699966430664
jodhpur,RH,-20.0,0.2689,0.2809,4.458399772644043
jodhpur,RH,-10.0,0.2689,0.275,2.26990008354187
jodhpur,RH,-5.0,0.2689,0.2719,1.1420999765396118
jodhpur,RH,0.0,0.26887217,0.26887217,0.0
jodhpur,RH,5.0,0.2689,0.2659,-1.090999960899353
jodhpur,RH,10.0,0.2689,0.2632,-2.1073999404907227
