,T,RH,WS,Rs,P,month,season
19,-0.04472966,0.0011159633,-0.07230549,-0.1462915,-0.0012600416,1,Winter
57,-0.049117565,0.018940289,-0.06999641,0.25870046,-0.009068275,1,Winter
59,-0.039773963,0.021299072,-0.092523284,0.24920878,-0.008549057,1,Winter
72,-0.067471474,-0.0031726006,-0.027837936,-0.14400615,-0.0010353773,1,Winter
88,-0.05522459,0.018803265,-0.029988224,-0.14471586,-0.0025877948,1,Winter
101,-0.06825996,-0.003604129,-0.006818769,-0.11363547,-0.004502649,1,Winter
103,-0.104568414,0.019616008,0.025624147,0.10782718,-0.0063844807,1,Winter
119,-0.06571362,0.01679,-0.032586474,-0.14336899,-0.0022744876,1,Winter
123,-0.067458384,0.011780275,-0.03631707,-0.14313519,-0.0019077769,1,Winter
127,-0.057864178,0.024454435,-0.08185706,0.19518484,-0.005117905,1,Winter
169,-0.072383024,-0.0033772727,-0.027612159,-0.14375368,-0.0010987312,1,Winter
200,-0.062869914,0.026575144,-0.05338646,0.28683174,-0.00935011,1,Winter
217,-0.076970175,0.007701902,-0.025628734,-0.14373831,-0.0018719155,1,Winter
247,-0.04250844,0.020001095,-0.107664816,0.28272054,-0.010286819,1,Winter
251,-0.0287267,0.011289259,-0.13374673,-0.07174814,-0.0053160773,1,Winter
273,-0.028189844,0.02492176,-0.06779034,0.08800326,-0.0057581984,1,Winter
286,-0.072789416,0.017667584,-0.025370235,-0.14465882,-0.0023127913,1,Winter
290,-0.081831284,0.036291394,0.00555991,-0.0057975855,-0.009953732,1,Winter
291,-0.08393825,0.038503084,0.0005254579,0.10804886,-0.0068860194,1,Winter
313,-0.050716005,0.015408359,-0.04178768,-0.12258664,-0.006401483,1,Winter
322,-0.035589147,0.018181127,-0.10815523,-0.04625851,-0.008196258,1,Winter
323,-0.04301125,0.028621655,-0.05488866,-0.14159128,-0.0029553217,1,Winter
326,-0.053886745,0.02502757,-0.042919148,-0.14253025,-0.00261881,1,Winter
327,-0.056607597,0.023649475,-0.03816093,-0.1428289,-0.0026310845,1,Winter
351,-0.069168895,0.022017552,-0.018771792,-0.14527081,-0.0022089751,1,Winter
361,-0.08997118,0.029707013,0.012568054,-0.00042526078,-0.010170734,1,Winter
379,-0.077572666,0.02334174,-0.016858978,-0.14541723,-0.0025878998,1,Winter
387,-0.07811599,0.045164905,0.020287415,0.21487252,-0.006086547,1,Winter
401,-0.074124955,0.028642293,-0.02164651,-0.14417467,-0.0028282013,1,Winter
409,-0.10105777,0.040619913,0.03447545,-0.00091109663,-0.010191927,1,Winter
424,-0.08353911,0.0275782,-0.0028428102,-0.14835681,-0.0038395948,1,Winter
450,-0.072689235,0.022201093,-0.02498831,-0.14450854,-0.002687029,1,Winter
460,-0.045979742,0.022012593,-0.0926482,0.27352148,-0.010422182,1,Winter
476,-0.06714571,-0.048821718,-0.008781581,-0.14661786,-0.00024613124,1,Winter
487,-0.041204747,0.044198584,0.07186742,0.21092314,-0.0071930457,1,Winter
503,-0.077469155,-0.0045910603,-0.0139954435,-0.1469745,0.00011729709,1,Winter
553,-0.09149718,0.026594087,-0.00034768129,0.0011690411,-0.010290175,1,Winter
563,-0.044020496,0.027844794,-0.07232733,-0.14022121,-0.0033256887,1,Winter
576,-0.09706858,0.041792233,0.029772438,0.0071659232,-0.01030196,1,Winter
586,-0.052511618,0.03205722,-0.030786155,-0.14345537,-0.0020220294,1,Winter
608,-0.023428617,0.014212709,-0.124019384,-0.025228279,-0.0062835966,1,Winter
621,-0.06630358,0.008553966,-0.02850714,-0.14487049,-0.0018943237,1,Winter
635,-0.049163394,0.022829916,-0.034840167,-0.14525916,-0.002279897,1,Winter
651,-0.030604359,0.025957724,-0.09514991,0.33446535,-0.009611858,1,Winter
657,-0.03635319,0.028128555,-0.049051583,-0.14511096,-0.0024743355,1,Winter
705,-0.07356679,0.037956025,-0.0076543055,-0.14548188,-0.0035414353,1,Winter
707,-0.08979374,0.037837096,0.010834383,-0.1495071,-0.0041598505,1,Winter
708,-0.095855825,0.03944457,0.022265725,-0.1527449,-0.0054287175,1,Winter
729,-0.06374266,0.03229423,-0.03457979,-0.14039105,-0.002648651,1,Winter
733,-0.069874175,0.030956587,-0.032057505,-0.14178593,-0.003024802,1,Winter
738,-0.07118563,0.027589051,-0.042648572,-0.14035141,-0.0033863215,2,Winter
754,-0.06652395,0.032171745,-0.028629541,-0.1421551,-0.002685446,2,Winter
765,-0.07831113,0.022921378,-0.041439503,-0.14075813,-0.0036232476,2,Winter
781,-0.05410112,0.02978043,-0.055052605,-0.13825989,-0.0037824537,2,Winter
782,-0.058605112,0.029592749,-0.048851456,-0.13835908,-0.0035324907,2,Winter
792,-0.094184875,0.036557253,-0.010298971,0.14595462,-0.007380828,2,Winter
794,-0.075938515,0.045922805,0.0008675716,0.3711581,-0.011051725,2,Winter
820,-0.04779414,0.045531325,0.0015215884,0.35963717,-0.0070342133,2,Winter
823,-0.02842852,0.028882481,-0.046753008,0.013133296,-0.0025912176,2,Winter
834,-0.06413814,0.026165295,-0.03273508,-0.14445546,-0.0010878682,2,Winter
836,-0.07199359,0.026150001,-0.026852896,-0.14510034,-0.00191881,2,Winter
837,-0.07569309,0.025516754,-0.02589078,-0.14515159,-0.0027322192,2,Winter
838,-0.05292261,0.026488386,-0.04118152,-0.117345974,-0.006572606,2,Winter
858,-0.076959595,0.029002093,-0.018572235,-0.14596839,-0.002439618,2,Winter
862,-0.056758393,0.028339498,-0.019578306,-0.11268973,-0.008027802,2,Winter
884,-0.07503228,0.025723128,-0.024322018,-0.14473735,-0.0020212668,2,Winter
885,-0.076162055,0.024717808,-0.02585477,-0.14441179,-0.002522554,2,Winter
